"","x"
"1","ULLA"
"2","FRAM"
"3","ACNE"
"4","ACNE"
"5","ACNE"
"6","CEOC"
"7","ACNE"
"8","CEOC"
"9","CEOC"
"10","CEOC"
"11","CEOC"
"12","CEOC"
"13","CEOC"
"14","CEOC"
"15","CEOC"
"16","MOAL"
"17","ACNE"
"18","CEOC"
"19","ACNE"
"20","ACNE"
"21","ACNE"
"22","ACNE"
"23","RHCA"
"24","FRPE"
"25","CEOC"
"26","PIMA"
"27","SYVU"
"28","PODE"
"29","QUMA"
"30","SOAM"
"31","FRPE"
"32","PRVI"
"33","PRVI"
"34","PRVI"
"35","PRVI"
"36","LOPER"
"37","LOPER"
"38","RHGL"
"39","ULAM"
"40","ACNE"
"41","ULAM"
"42","ULAM"
"43","ACNE"
"44","ACNE"
"45","ACNE"
"46","ACNE"
"47","ACNE"
"48","BEPA"
"49","ACNE"
"50","FRPE"
"51","ACNE"
"52","ACNE"
"53","SYRE"
"54","EUAL"
"55","ACNE"
"56","THOC"
"57","COSA"
"58","THOC"
"59","THOC"
"60","THOC"
"61","THOC"
"62","THOC"
"63","ULPU"
"64","ROPS"
"65","ROPS"
"66","ULPU"
"67","ULPU"
"68","ACSA"
"69","ULPU"
"70","ACNE"
"71","AEHI"
"72","AEHI"
"73","ROPS"
"74","ROPS"
"75","ACNE"
"76","ACNE"
"77","ACNE"
"78","ULAM"
"79","ULAM"
"80","ULAM"
"81","ULPU"
"82","ACNE"
"83","OSVI"
"84","AMCA"
"85","AMCA"
"86","ACNE"
"87","ULAM"
"88","OSVI"
"89","AMCA"
"90","ACPL"
"91","ACSA"
"92","FRPE"
"93","ACSA"
"94","TACA"
"95","TACA"
"96","TACA"
"97","TACA"
"98","TACA"
"99","TICO"
"100","TICO"
"101","THOC"
"102","TACA"
"103","ACPL"
"104","TACA"
"105","PIPU"
"106","EUAL"
"107","THOC"
"108","EUAL"
"109","QUMA"
"110","ULPU"
"111","TACA"
"112","ACPL"
"113","ACPL"
"114","ACPL"
"115","ACPL"
"116","ACPL"
"117","ACPL"
"118","QURU"
"119","QURU"
"120","QUMA"
"121","QUMA"
"122","PNNI"
"123","ACSC"
"124","ACSA"
"125","ACPL"
"126","ACPL"
"127","ACPL"
"128","ACPL"
"129","ACPL"
"130","ACSC"
