fid,Sample.Site,Site Code,Species.Code,Species Latin,Genus,Latitude,Longitude,DBH,DBH Round,Basal.Area,Subsite Code,GS Type,Classification,Index
N/A,N/A,Y5,ABBA,Abies Balsamea,Abies,N/A,N/A,16.5,17,0.0226865,Y5,Private,Private,3533
N/A,N/A,Y5,ABBA,Abies Balsamea,Abies,N/A,N/A,8.1,8,0.005024,Y5,Private,Private,3537
N/A,N/A,Y11,ABBA,Abies Balsamea,Abies,N/A,N/A,16.7,17,0.0226865,Y11,Private,Private,3563
N/A,N/A,Y46,ABBA,Abies Balsamea,Abies,N/A,N/A,5.2,5,0.0019625,Y46,Private,Private,3809
N/A,N/A,Y76,ABBA,Abies Balsamea,Abies,N/A,N/A,7.2,7,0.0038465,Y76,Private,Private,4066
N/A,N/A,Y76,ABBA,Abies Balsamea,Abies,N/A,N/A,8,8,0.005024,Y76,Private,Private,4067
N/A,N/A,Y76,ABBA,Abies Balsamea,Abies,N/A,N/A,4.8,5,0.0019625,Y76,Private,Private,4069
N/A,N/A,Y76,ABBA,Abies Balsamea,Abies,N/A,N/A,8.7,9,0.0063585,Y76,Private,Private,4070
N/A,N/A,Y86,ABBA,Abies Balsamea,Abies,N/A,N/A,14.6,15,0.0176625,Y86,Private,Private,4203
163,BENNY,P1,ACFR,Acer Freemannii 'Armstrong',Acer,45.466785,-73.631866,4.9,5,0.0019625,B46,Park,Public,6
65,BENNY,P1,ACFR,Acer Freemannii 'Armstrong',Acer,45.466579,-73.631368,5,5,0.0019625,B19,Park,Public,7
199,LOYOLA,P5,ACFR,Acer Freemannii 'Autumn Blaze',Acer,45.460993,-73.6449412,4.8,5,0.0019625,LO38,Park,Public,481
132,LOYOLA,P5,ACFR,Acer Freemannii,Acer,45.46146,-73.6449512,4.9,5,0.0019625,LO161,Park,Public,483
68,LOYOLA,P5,ACFR,Acer Freemannii,Acer,45.461726,-73.6450076,7.7,8,0.005024,LO128,Park,Public,506
75,LOYOLA,P5,ACFR,Acer Freemannii,Acer,45.462579,-73.646441,17.4,17,0.0226865,LO130,Park,Public,605
32,LOYOLA,P5,ACFR,Acer Freemannii,Acer,45.461882,-73.645904,21.5,22,0.037994,LO105,Park,Public,628
29,LOYOLA,P5,ACFR,Acer Freemannii,Acer,45.461864,-73.645776,21.8,22,0.037994,LO103,Park,Public,630
96,LOYOLA,P5,ACFR,Acer Freemannii,Acer,45.461988,-73.646348,22.9,23,0.0415265,LO142,Park,Public,638
299,LOYOLA,P5,ACFR,Acer Freemannii,Acer,45.461951,-73.646251,24.4,24,0.045216,LO83,Park,Public,656
117,LOYOLA,P5,ACFR,Acer Freemannii,Acer,45.462032,-73.646607,28,28,0.061544,LO155,Park,Public,681
30,LOYOLA,P5,ACFR,Acer Freemannii,Acer,45.461844,-73.645654,32.9,33,0.0854865,LO103,Park,Public,716
