"","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"1","Dawson",1,"Public","Alley","A","A1","UL","ULLA","ULLA","Ulmus laevis","White Elm",29.2,"N","N","http://www.euforgen.org/species/ulmus-laevis/",""
"2","Dawson",1,"Public","Alley","A","A1","FR","FRAM","FRAM","Fraxinus americana","White Ash",51.6,"Y","Y","USDA/TC/LM",""
"3","Dawson",1,"Public","Alley","A","A1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.6,"N","Y","USDA/TC/LM/Mortens",""
"4","Dawson",1,"Public","Alley","A","A1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",15.5,"N","Y","USDA/TC/LM/Mortens",""
"5","Dawson",1,"Public","Alley","A","A1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",27.4,"N","Y","USDA/TC/LM/Mortens",""
"6","Dawson",1,"Public","Alley","A","A2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",27.2,"N","Y","USDA/TC/LM/Mortens",""
"7","Dawson",1,"Public","Alley","A","A2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.8,"N","Y","USDA/TC/LM/Mortens",""
"8","Dawson",1,"Public","Alley","A","A2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",21.6,"N","Y","USDA/TC/LM/Mortens",""
"9","Dawson",1,"Public","Alley","A","A2","BE","BEPA","BEPA","Betula papyrifera","Paper Birch",21,"Y","Y","USDA/TC/LM",""
"10","Dawson",1,"Public","Alley","A","A3","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.6,"N","Y","USDA/TC/LM/Mortens",""
"11","Dawson",1,"Public","Alley","A","A4","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.2,"N","Y","USDA/TC/LM/Mortens",""
"12","Dawson",1,"Public","Alley","A","A4","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",31,"N","Y","USDA/TC/LM/Mortens",""
"13","Dawson",1,"Public","Alley","A","A6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",19.3,"N","Y","USDA/TC/LM/Mortens",""
"14","Dawson",1,"Public","Alley","A","A6","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",9.7,"Y","Y","USDA/TC/LM",""
"15","Dawson",1,"Public","Alley","A","A6","CO","COSA","COSA","Cornus sanquinea","",12.6,"N","N",NA,""
"16","Dawson",1,"Public","Alley","A","A6","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",5.1,"Y","Y","USDA/TC/LM",""
"17","Dawson",1,"Public","Alley","A","A6","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",6.8,"Y","Y","USDA/TC/LM",""
"18","Dawson",1,"Public","Alley","A","A6","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",7.8,"Y","Y","USDA/TC/LM",""
"19","Dawson",1,"Public","Alley","A","A6","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",7,"Y","Y","USDA/TC/LM",""
"20","Dawson",1,"Public","Alley","A","A6","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",11.2,"Y","Y","USDA/TC/LM",""
"21","Dawson",1,"Public","Alley","A","A7","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",51,"N","N","USDA/TC/LM",""
"22","Dawson",1,"Public","Alley","A","A7","RO","ROPS","ROPS","Robinia pseudoacacia","Black Locust",7.5,"N","Y","TC/lLM/Mortens",""
"23","Dawson",1,"Public","Alley","A","A7","RO","ROPS","ROPS","Robinia pseudoacacia","Black Locust",6.1,"N","Y","TC/lLM/Mortens",""
"24","Dawson",1,"Public","Alley","A","A7","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",5.5,"N","N","USDA/TC/LM",""
"25","Dawson",1,"Public","Alley","A","A7","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",8.3,"N","N","USDA/TC/LM",""
"26","Dawson",1,"Public","Alley","A","A7","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",12.7,"N","N","USDA/TC/LM",""
"27","Dawson",1,"Public","Alley","A","A7","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",35.1,"N","Y","USDA/TC/LM/Mortens",""
"28","Dawson",1,"Public","Alley","A","A7","AE","AEHI","AEHI","Aesculus hippocastanum","Common Horsechesnut",54.3,"N","N","USDA/TC/Mortens",""
"29","Dawson",1,"Public","Alley","A","A7","AE","AEHI","AEHI","Aesculus hippocastanum","Common Horsechesnut",43.9,"N","N","USDA/TC/Mortens",""
"30","Dawson",1,"Public","Alley","A","A8","RO","ROPS","ROPS","Robinia pseudoacacia","Black Locust",52.2,"N","Y","TC/lLM/Mortens",""
"31","Dawson",1,"Public","Alley","A","A8","RO","ROPS","ROPS","Robinia pseudoacacia","Black Locust",34.7,"N","Y","TC/lLM/Mortens",""
"32","Dawson",1,"Public","Alley","A","A8","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.2,"N","Y","USDA/TC/LM/Mortens",""
"33","Dawson",1,"Public","Alley","A","A8","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",48.1,"N","Y","USDA/TC/LM/Mortens",""
"34","Dawson",1,"Public","Alley","A","A9","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",54.4,"N","Y","USDA/TC/LM/Mortens",""
"35","Dawson",1,"Public","Alley","A","A9","UL","ULAM","ULAM","Ulmus americana","White Elm",32.1,"Y","Y","USDA/TC/LM",""
"36","Dawson",1,"Public","Alley","A","A9","UL","ULAM","ULAM","Ulmus americana","White Elm",28.2,"Y","Y","USDA/TC/LM",""
"37","Dawson",1,"Public","Alley","A","A9","UL","ULAM","ULAM","Ulmus americana","White Elm",23.3,"Y","Y","USDA/TC/LM",""
"38","Dawson",1,"Public","Alley","A","A9","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",5.5,"N","N","USDA/TC/LM",""
"39","Dawson",1,"Public","Alley","A","A9","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",6.4,"N","Y","USDA/TC/LM/Mortens",""
"40","Dawson",1,"Public","Alley","A","A9","OS","OSVI","OSVI","Ostrya virginiana","American Hop-Hornbeam Ironwood",13.6,"Y","Y","USDA/TC/LM",""
"41","Dawson",1,"Public","Alley","A","A9","AM","AMCA","AMCA","Amelanchier canadensis","Downy Serviceberry",7.5,"Y","Y","USDA/TC/LM","Synonym: Amelanchier arborea"
"42","Dawson",1,"Public","Alley","A","A9","AM","AMCA","AMCA","Amelanchier canadensis","Downy Serviceberry",7.7,"Y","Y","USDA/TC/LM","Synonym: Amelanchier arborea"
"43","Dawson",1,"Public","Alley","A","A9","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",9.8,"N","Y","USDA/TC/LM/Mortens",""
"44","Dawson",1,"Public","Alley","A","A9","UL","ULAM","ULAM","Ulmus americana","White Elm",5.1,"Y","Y","USDA/TC/LM",""
"45","Dawson",1,"Public","Alley","A","A9","OS","OSVI","OSVI","Ostrya virginiana","American Hop-Hornbeam Ironwood",11.6,"Y","Y","USDA/TC/LM",""
"46","Dawson",1,"Public","Alley","A","A9","AM","AMCA","AMCA","Amelanchier canadensis","Downy Serviceberry",7.8,"Y","Y","USDA/TC/LM","Synonym: Amelanchier arborea"
"47","Dawson",1,"Public","Alley","A","A10","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24.8,"N","Y","USDA/TC/LM/Mortens",""
"48","Dawson",1,"Public","Alley","A","A11","MO","MOAL","MOAL","Morus alba","White Mulberry",10.9,"N","N","USDA/TC/Mortens",""
"49","Dawson",1,"Public","Alley","A","A12","PO","PODE","PODE","Populus deltoides","Eastern Cottonwood",114.4,"Y","Y","USDA/TC/LM",""
"50","Dawson",1,"Public","Alley","A","A12","QU","QUMA","QUMA","Quercus macrocarpa","Bur Oak",30.1,"Y","Y","USDA/TC/LM/NRC",""
"51","Dawson",1,"Public","Alley","A","A12","SO","SOAM","SOAM","Sorbus americana ","",35.1,"Y","Y","https://www.fs.fed.us/database/feis/plants/tree/sorame/all.html",""
"52","Dawson",1,"Public","Alley","A","A12","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",6.5,"Y","Y","USDA/TC/Mortens/LM",""
"53","Dawson",1,"Public","Alley","A","A12","PR","PRVI","PRVI","Prunus virginiana","Chokecherry",5.4,"Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
