Private_trees_10_04_3,,,,,,,,,,,,,,,,
Global_ID,Date_Relev,Classification,GS Type,Sample Site,Site Code,DBH,Species_Code,Species_Common,Species Latin,Genus,Latitude,Longitude,Accuracy,UTM_Northing_11_Location_of_Tree,UTM_Easting_11_Location_of_Tree,UTM_Zone_11_Location_of_Tree
dc5741dd-0d45-4c23-8051-e4ccbc0f57ee,2021-06-29T13:16:06.425Z,Private,Private,1_Bellevue_Avenue,R13,35,ACPA,Japanese_Maple,Acer palmatum,Acer,45.488864,-73.605356,65,5038205,608980,18T
aa879005-9112-4534-abbe-f8603a4cd61d,2021-06-29T13:19:00.945Z,Private,Private,1_Bellevue_Avenue,R13,26.7,SYVU,Common_lilac,Syringa vulgaris,Syringa,45.489024,-73.605472,65,5038222,608971,18T
512c9325-5815-4307-9ff4-86fe11d1e46b,2021-06-29T13:21:24.099Z,Private,Private,1_Bellevue_Avenue,R13,20.8,THOC,Eastern_White_Cedar,Thuja occidentalis,Thuja,45.488884,-73.605508,65,5038207,608968,18T
918db561-2a8e-49f4-a945-50bb9bd8312c,2021-06-29T13:24:26.734Z,Private,Private,1_Bellevue_Avenue,R13,13.8,MA,Magnolia_X,Magnolia x ,Magnolia,45.488851,-73.605267,65,5038203,608987,18T
0464d417-a93d-4b89-9ac1-926cfa2b1863,2021-06-29T13:27:37.218Z,Private,Private,1_Bellevue_Avenue,R13,20.9,SYVU,Common_lilac,Syringa vulgaris,Syringa,45.488954,-73.605277,65,5038215,608986,18T
4abb6943-bf2e-4f60-b473-d7576a5f9633,2021-06-29T13:29:20.583Z,Private,Private,1_Bellevue_Avenue,R13,46,ULAM,American_Elm,Ulmus americana,Ulmus,45.489117,-73.605372,65,5038233,608978,18T
8fe64e69-a318-47e8-b941-7d039ac8dd10,2021-06-29T13:29:56.899Z,Private,Private,1_Bellevue_Avenue,R13,43,ULAM,American_Elm,Ulmus americana,Ulmus,45.489064,-73.605292,65,5038227,608984,18T
5996cf61-0167-4823-963b-5f7f9d2a83f9,2021-06-29T13:31:25.330Z,Private,Private,1_Bellevue_Avenue,R13,31.3,ULAM,American_Elm,Ulmus americana,Ulmus,45.488873,-73.60553,65,5038206,608966,18T
a13dd1c5-26fd-4c78-8e8a-d304cdb7c6cf,2021-06-29T13:39:40.982Z,Private,Private,1_Bellevue_Avenue,R13,59.1,QURU,Northern_Red_Oak,Quercus rubra,Quercus,45.488881,-73.605912,65,5038206,608936,18T
a7c0caf2-a2d5-48ab-897d-708d0963d6f8,2021-06-29T13:40:43.111Z,Private,Private,1_Bellevue_Avenue,R13,31.6,JUNI,Black_Walnut,Juglans Nigra,Juglans,45.488994,-73.605316,65,5038219,608983,18T
f36e55c7-5368-4e3d-89aa-de23a4b76cbe,2021-06-29T13:41:26.733Z,Private,Private,1_Bellevue_Avenue,R13,15.1,GIBI,Ginkgo_biloba,Ginkgo biloba,Ginkgo,45.488877,-73.605876,65,5038206,608939,18T
