fid,ObjectId,GS Type,Sample Site,No_civique,Species Code,Species Latin,ESSENCE_AN,DBH,Date_relev,Longitude,Latitude,GlobalID
6779,198388,Street,Chemin De Breslay,3028,ABBA,Abies balsamea,Balsam Fir,13,2/29/2012 12:00:00 AM,-73.59033,45.491864,4002bec5-2b8d-4242-8d39-91ba8d06c5f1
7643,198480,Street,Chemin De Breslay,3028,ABBA,Abies balsamea,Balsam Fir,20,2/29/2012 12:00:00 AM,-73.590378,45.491852,27e221f3-cec7-4c59-9245-5e42a757fdee
7651,198488,Street,Chemin De Breslay,3028,ABBA,Abies balsamea,Balsam Fir,7,2/29/2012 12:00:00 AM,-73.590355,45.491858,1c67436f-be78-4508-a5c6-c342b53ecfdc
7659,198496,Street,Chemin De Breslay,3028,ABBA,Abies balsamea,Balsam Fir,7,2/29/2012 12:00:00 AM,-73.590414,45.491845,0861326a-ac94-45be-9aff-43ae8a68dfbf
7665,198502,Street,Chemin De Breslay,3028,ABBA,Abies balsamea,Balsam Fir,18,2/29/2012 12:00:00 AM,-73.59044,45.491839,3f4a4864-af70-4608-aee2-ceb55767ffe5
4528,196540,Street,Avenue Seaforth,N/A,ACNE,Acer negundo,Manitoba Maple,52,4/3/2012 12:00:00 AM,-73.585863,45.496039,6e53a620-6d61-4715-9042-b772fe3aaba2
7815,198652,Street,Chemin Saint-Sulpice,3074,ACNE,Acer negundo,Manitoba Maple,25,11/2/2006 12:00:00 AM,-73.590876,45.493377,661d9c75-a9fd-4c0b-886c-80d7dcce5ac7
3444,43947,Parc,CABOT,N/A,ACNIGC,Acer nigrum 'Green Column',Green Column Black Maple,18,12/5/2016 12:00:00 AM,-73.583822,45.489548,a6d446e2-1995-4e5e-96cf-3bdccf268516
4324,195947,Street,Avenue Atwater,N/A,ACPL,Acer platanoides,Norway Maple,34,1/23/2012 12:00:00 AM,-73.587503,45.490941,745dc6b3-e300-45eb-a922-ef920de43308
6760,198369,Street,Chemin De Breslay,3000,ACPL,Acer platanoides,Norway Maple,26,2/29/2012 12:00:00 AM,-73.589493,45.492027,40eb9a14-be55-4875-86ad-842498b65aca
