fid,ObjectId,GlobalID,Date_relev,Classification,GS Type,Sample Site,No_civique,Site Code,DBH,Species Code,Species_Common,Species Latin,Genus,Latitude,Longitude,Area_Site
6779,198388,4002bec5-2b8d-4242-8d39-91ba8d06c5f1,2/29/2012 12:00:00 AM,Public,Street,Chemin De Breslay,3028,S120,13,ABBA,Balsam Fir,Abies balsamea,Abies,45.491864,-73.59033,1066.278657
7643,198480,27e221f3-cec7-4c59-9245-5e42a757fdee,2/29/2012 12:00:00 AM,Public,Street,Chemin De Breslay,3028,S120,20,ABBA,Balsam Fir,Abies balsamea,Abies,45.491852,-73.590378,1066.278657
7651,198488,1c67436f-be78-4508-a5c6-c342b53ecfdc,2/29/2012 12:00:00 AM,Public,Street,Chemin De Breslay,3028,S120,7,ABBA,Balsam Fir,Abies balsamea,Abies,45.491858,-73.590355,1066.278657
7659,198496,0861326a-ac94-45be-9aff-43ae8a68dfbf,2/29/2012 12:00:00 AM,Public,Street,Chemin De Breslay,3028,S120,7,ABBA,Balsam Fir,Abies balsamea,Abies,45.491845,-73.590414,1066.278657
7665,198502,3f4a4864-af70-4608-aee2-ceb55767ffe5,2/29/2012 12:00:00 AM,Public,Street,Chemin De Breslay,3028,S120,18,ABBA,Balsam Fir,Abies balsamea,Abies,45.491839,-73.59044,1066.278657
7815,198652,661d9c75-a9fd-4c0b-886c-80d7dcce5ac7,11/2/2006 12:00:00 AM,Public,Street,Chemin Saint-Sulpice,3074,S127,25,ACNE,Manitoba Maple,Acer negundo,Acer,45.493377,-73.590876,1396.191902
4528,196540,6e53a620-6d61-4715-9042-b772fe3aaba2,4/3/2012 12:00:00 AM,Public,Street,Avenue Seaforth,N/A,,52,ACNE,Manitoba Maple,Acer negundo,Acer,45.496039,-73.585863,
3444,43947,a6d446e2-1995-4e5e-96cf-3bdccf268516,12/5/2016 12:00:00 AM,Public,Parc,CABOT,N/A,P1,18,ACNIGC,Green Column Black Maple,Acer nigrum 'Green Column',Acer,45.489548,-73.583822,8799.965514
14212,205047,cb9caca9-a07f-4075-8e73-c444663893cb,10/23/2015 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,2168,S3,20,ACPL,Norway Maple,Acer platanoides,Acer,45.492237,-73.586419,992.0535921
14216,205051,19544009-3b7c-457c-b8d7-8cb5f6a93128,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,2330,S5,24,ACPL,Norway Maple,Acer platanoides,Acer,45.491812,-73.587112,857.110891
14188,205023,4c74ee3a-81b2-40dc-8d25-bfe91bc140e9,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,1950,S25,28,ACPL,Norway Maple,Acer platanoides,Acer,45.494072,-73.583797,978.307623
13196,204420,89af2d89-b601-4422-9d9d-a61feb7384c8,6/27/2017 12:00:00 AM,Public,Street,Rue Saint-Marc,2295,S29,32,ACPL,Norway Maple,Acer platanoides,Acer,45.494412,-73.583003,405.2754584
13624,204461,a195e3d6-abaf-4246-9a42-0703217d50ab,1/10/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,N/A,S45,29,ACPL,Norway Maple,Acer platanoides,Acer,45.495948,-73.582687,554.4580154
13634,204471,f760d59c-a280-4ed2-b211-4b5ca349e7d9,1/10/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,N/A,S62,31,ACPL,Norway Maple,Acer platanoides,Acer,45.493403,-73.578336,1681.479666
12906,204130,eaf1b702-bcbe-49ff-86d7-7b28b575b47e,1/10/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,1170,S65,40,ACPL,Norway Maple,Acer platanoides,Acer,45.492598,-73.577277,627.0890236
12914,204138,b203229e-75a6-4b1a-a7df-65ced3d05b72,1/10/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,1182,S65,48,ACPL,Norway Maple,Acer platanoides,Acer,45.492666,-73.577407,627.0890236
13018,204242,8ca82cc3-c5c0-4265-9e2b-fa4f46c6282e,1/10/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,1190,S65,47,ACPL,Norway Maple,Acer platanoides,Acer,45.492751,-73.577541,627.0890236
8644,199461,a5da52ac-9b18-47fb-b01b-3bc26b44806e,1/19/2012 12:00:00 AM,Public,Street,Rue Baile,1901,S75,18,ACPL,Norway Maple,Acer platanoides,Acer,45.491648,-73.57926,874.0620801
14301,205136,b05aa8ea-3536-4e14-8135-b51103c561cf,1/10/2012 12:00:00 AM,Public,Street,Rue Towers,1409,S85,18,ACPL,Norway Maple,Acer platanoides,Acer,45.492546,-73.581197,581.1950157
14321,205156,5252dbb4-442e-4e01-bad0-fb1a7c5f885c,1/10/2012 12:00:00 AM,Public,Street,Rue Towers,1411,S85,23,ACPL,Norway Maple,Acer platanoides,Acer,45.492609,-73.581307,581.1950157
14332,205167,dfb5165c-e14d-409c-83bd-4377c26a8894,1/10/2012 12:00:00 AM,Public,Street,Rue Towers,1455,S85,23,ACPL,Norway Maple,Acer platanoides,Acer,45.492865,-73.581749,581.1950157
14337,205172,af127eb6-7003-43d0-ae79-174c3c7d347b,1/10/2012 12:00:00 AM,Public,Street,Rue Towers,1420,S86,20,ACPL,Norway Maple,Acer platanoides,Acer,45.492784,-73.581837,590.3660653
4324,195947,745dc6b3-e300-45eb-a922-ef920de43308,1/23/2012 12:00:00 AM,Public,Street,Avenue Atwater,N/A,S110,34,ACPL,Norway Maple,Acer platanoides,Acer,45.490941,-73.587503,1777.440272
6760,198369,40eb9a14-be55-4875-86ad-842498b65aca,2/29/2012 12:00:00 AM,Public,Street,Chemin De Breslay,3000,S120,26,ACPL,Norway Maple,Acer platanoides,Acer,45.492027,-73.589493,1066.278657
4564,196576,a171d119-3505-455c-9a48-bc8c1e719231,6/1/2012 12:00:00 AM,Public,Street,Avenue Lincoln,2094,S20,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.492355,-73.584638,989.5698385
15549,205968,c2030936-3e97-406b-b845-1b78effe25b6,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,N/A,S22,34,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493139,-73.585291,1647.856765
15108,206324,38b99f73-869d-490d-adbb-671211028318,6/1/2012 12:00:00 AM,Public,Street,Rue du Fort,N/A,S26,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493434,-73.584049,425.1859865
4532,196544,13e8cba4-0ee1-4a08-a465-2c9fb502e896,5/24/2013 12:00:00 AM,Public,Street,Avenue Lincoln,1955,S27,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493845,-73.583013,972.8749623
4533,196545,a4c14b46-1ecd-4f1e-b3d2-2bef0a9ce3fe,5/24/2013 12:00:00 AM,Public,Street,Avenue Lincoln,1955,S27,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493755,-73.583128,972.8749623
4534,196546,01417d3d-9e15-4fe7-b0f5-33c8b16978b9,5/24/2013 12:00:00 AM,Public,Street,Avenue Lincoln,1955,S27,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.49371,-73.583185,972.8749623
4535,196547,d552584f-fcf0-493c-96f2-69ddae16eacd,5/24/2013 12:00:00 AM,Public,Street,Avenue Lincoln,1981,S27,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493453,-73.5835,972.8749623
4536,196548,afa146b2-5e59-45ce-aa5e-939f7b4d4d0f,5/24/2013 12:00:00 AM,Public,Street,Avenue Lincoln,1981,S27,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493401,-73.583566,972.8749623
4537,196549,46d8d008-a879-4b0d-9de1-e81ea5d70ccf,5/24/2013 12:00:00 AM,Public,Street,Avenue Lincoln,1981,S27,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493353,-73.583624,972.8749623
4538,196550,3822dbc9-5bc7-4f94-ac41-3f133408ca2a,5/24/2013 12:00:00 AM,Public,Street,Avenue Lincoln,1981,S27,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493296,-73.583691,972.8749623
4546,196558,fa73fd9d-adae-4cc8-a43a-cce3fe9a057b,5/24/2013 12:00:00 AM,Public,Street,Avenue Lincoln,N/A,S27,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493897,-73.582954,972.8749623
4549,196561,11f5900d-dc76-4d80-a467-1481607f77ff,6/1/2012 12:00:00 AM,Public,Street,Avenue Lincoln,1850,S40,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.494169,-73.582419,951.70404
13649,204486,66f345e4-b4bc-47dd-8b6d-6fd89445da84,6/4/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,1278,S63,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.493533,-73.578898,603.8445663
12904,204128,1235be5b-b218-440a-a9dc-d30c35eda634,1/10/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,1160,S65,8,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.492432,-73.576993,627.0890236
13201,204425,349d1621-1301-467b-975e-06f706168860,1/12/2012 12:00:00 AM,Public,Street,Rue Saint-Marc,1220,S78,6,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.491954,-73.57906,331.4238512
14378,205213,75b1711d-9321-4990-8811-a9671b086370,1/19/2012 12:00:00 AM,Public,Street,Rue Tupper,1950,S79,12,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.491665,-73.580117,699.9828115
14354,205189,b5cfae6d-81c3-4531-ab1e-08886c7a7fdf,6/1/2012 12:00:00 AM,Public,Street,Rue Tupper,1961,S80,5,ACPLCO,Columnare Norway Maple,Acer platanoides 'Columnare',Acer,45.491534,-73.580411,750.2063616
