Genus Code,Species Code,Cultivar Code,Species Latin,Species Common,Native_SLL,Native_ETF,Invasive,Origin Source,Invasive Source,Comments
AB,ABBA,ABBA,Abies Balsamea,Balsam fir,Y,Y,N,USDA/TC/LM,WI,
AC,ACFR,ACFR,Acer x freemannii,FREEMAN MAPLE,Y,Y,N,Mortens/LM,WI,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,Y,Y,N,Mortens/LM,WI,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
AC,ACFR,ACFRAF,Acer x freemanii 'Autumn Fantasy',Acer x freemanii 'Autumn Fantasy',Y,Y,N,Mortens/LM,WI,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
AC,ACFR,ACFRAR,Acer x freemanii 'Armstrong',Acer x freemanii 'Armstrong',Y,Y,N,Mortens/LM,WI,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
AC,ACFR,ACFRCE,Acer x freemanii 'Celebration',Acer x freemanii Celebration,Y,Y,N,LM/Mortons,WI,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
AC,ACFR,ACFRFI,Acer x freemanii 'Firefall',Acer x freemanii 'Firefall',Y,Y,N,Mortens/LM,WI,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
AC,ACFR,ACFRMA,Acer x freemanii 'Marmo',Acer x freemanii Marmo,Y,Y,N,LM/Mortons,WI,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
AC,ACGI,ACGI,Acer Ginnala,Armur Maple,N,N,Y,USDA/TC/Mortens,WI/Mortens,
AC,ACGI,ACGIFL,Acer ginnala 'Flame',Flame Armur Maple,N,N,Y,USDA/TC/Mortens,WI/Mortens,
AC,ACGI,ACGIRS,Acer ginnala 'Ruby Slippers',Ruby Slippers Ginnala Maple,N,N,Y,USDA/TC/Mortens,WI/Mortens,
AC,ACMI,ACMIMO,Acer miyabei 'Morton' (State Street TM),Acer miyabei Morton (State Street),N,N,N,Mortens,WI,
AC,ACNE,ACNE,Acer negundo,Manitoba Maple,N,Y,N,USDA/TC/LM/Mortens,WI,
AC,ACNI,ACNIGC,Acer nigrum 'Green Column',Green Column Black Maple,N,N,N,USDA/TC/LM,WI,
AC,ACPA,ACPA,Acer palmatum,Japanese Maple,N,N,N,USDA/TC/Mortens,WI,
AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLCB,Acer platanoides 'Columnarbroad',Parkway Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLCK,Acer platanoides 'Crimson King',Crimson King Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLCS,Acer platanoides 'Crimson Sentry',Crimson Sentry Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLEL,Acer Platanoides 'Emerald Lustre',Acer Platanoides 'Emerald Lustre',N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLRR,Acer platanoides 'Royal Red',Royal Red Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLSC,Acer platanoides 'Schwedleri',Schwedleri Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLSP,Acer platanoides 'Superform',Superform Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACPL,ACPLSU,Acer platanoides 'Summershade',Summershade Norway Maple,N,N,Y,USDA/TC,WI/Mortens,
AC,ACRU,ACRU,Acer rubrum,Red Maple,Y,Y,N,USDA/LM/TC,WI,
AC,ACRU,ACRUAR,Acer rubrum 'Armstrong',Armstrong Red Maple,Y,Y,N,USDA/LM/TC,WI,
AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,USDA/LM,WI,
AC,ACSA,ACSAMO,Acer saccharinum 'Montréal',Montréal Siler Maple,Y,Y,N,USDA/LM,WI,
AC,ACSA,ACSAPY,Acer saccharinum 'Pyramidalis',Pyramidale Silver Maple,Y,Y,N,USDA/LM,WI,
AC,ACSC,ACSC,Acer saccharum,Sugar Maple,Y,Y,N,TC/LM,WI,
AC,ACSC,ACSCTU,Acer saccharum 'Temple Upright',Temple Upright Sugar Maple,Y,Y,N,TC/LM,WI,
AC,ACTA,ACTA,Acer tataricum,Tartarian Maple,N,N,N,USDA,WI,
