fid,ObjectId,GS Type,Sample Site,No_civique,Species Code,Species Latin,ESSENCE_AN,DBH,Date_relev,Longitude,Latitude,GlobalID,fid_2,SiteCode,Area
"10607","201033",Street,Rue Lambert-Closse,N/A,AMGR,Amelanchier x grandiflora,Apple Serviceberry,5,9/30/2019 12:00:00 AM,-73.58645,45.491705,670dfb3c-c947-4d6a-a89a-c89ad7aa7223,"0",S1,885.45527464282
"10627","201053",Street,Rue Lambert-Closse,N/A,AMGR,Amelanchier x grandiflora,Apple Serviceberry,5,9/30/2019 12:00:00 AM,-73.586062,45.49147,c15b887b-a810-4537-9eb0-5ceb196f3f4e,"0",S1,885.45527464282
"10603","201029",Street,Rue Lambert-Closse,N/A,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,9/30/2012 12:00:00 AM,-73.586372,45.491658,f1aedc89-6c16-4029-9f39-6a62a675a9d7,"0",S1,885.45527464282
"10604","201030",Street,Rue Lambert-Closse,N/A,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,9/30/2012 12:00:00 AM,-73.586132,45.491516,340e88f7-da28-4a61-b0e2-1977a8cf7061,"0",S1,885.45527464282
"10605","201031",Street,Rue Lambert-Closse,N/A,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,9/30/2012 12:00:00 AM,-73.58621,45.491561,fe0be49e-ca2e-44cf-a254-c9fd19031b59,"0",S1,885.45527464282
"10606","201032",Street,Rue Lambert-Closse,N/A,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,9/30/2012 12:00:00 AM,-73.586297,45.49161,1201ef37-9749-4343-81a7-aef69e8ed3e5,"0",S1,885.45527464282
"10608","201034",Street,Rue Lambert-Closse,N/A,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,9/30/2012 12:00:00 AM,-73.586616,45.491804,aae8ed30-a5f2-4309-8ad8-12119499e8e7,"0",S1,885.45527464282
"10609","201035",Street,Rue Lambert-Closse,N/A,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,9/30/2012 12:00:00 AM,-73.58679,45.491903,e57ef33a-ac3c-44c7-be39-a7c4c08edfb3,"0",S1,885.45527464282
"10610","201036",Street,Rue Lambert-Closse,N/A,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,9/30/2012 12:00:00 AM,-73.586532,45.491755,6696ded5-82d9-4fde-aa29-5a550daeeb3d,"0",S1,885.45527464282
"10611","201037",Street,Rue Lambert-Closse,N/A,AMGRAB,Amelanchier x grandiflora 'Autumn Brillance',Autumn Brillance Serviceberry,5,9/30/2012 12:00:00 AM,-73.586706,45.491857,b1c30f82-d6ff-40f1-84e7-758008ee87b6,"0",S1,885.45527464282
"10602","201028",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/30/2019 12:00:00 AM,-73.586112,45.491486,2dd2b7a1-d5fb-4d50-8244-50103b05fe0c,"0",S1,885.45527464282
"10618","201044",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/17/2016 12:00:00 AM,-73.586181,45.491531,89357b91-f902-4897-8079-e0d41177b2eb,"0",S1,885.45527464282
"10619","201045",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/17/2016 12:00:00 AM,-73.586264,45.49158,44132202-2328-4645-b8d7-40ec7abde10a,"0",S1,885.45527464282
"10620","201046",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/17/2016 12:00:00 AM,-73.586344,45.491624,761c4d53-ea1c-45c2-bf44-72687779c6a7,"0",S1,885.45527464282
"10621","201047",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/17/2016 12:00:00 AM,-73.586426,45.491672,1ba59c19-523e-4dd1-a6e2-8a3dca17906c,"0",S1,885.45527464282
"10622","201048",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/17/2016 12:00:00 AM,-73.586505,45.491719,2cefda73-7a56-46e8-b957-5bc2327e05ff,"0",S1,885.45527464282
"10623","201049",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/17/2016 12:00:00 AM,-73.586587,45.491768,00cc3c58-8a2b-42e8-ad6d-3d177330a5d5,"0",S1,885.45527464282
"10624","201050",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/17/2016 12:00:00 AM,-73.586675,45.491818,d8cc06c6-267d-440a-bab3-4391661bd84b,"0",S1,885.45527464282
"10625","201051",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/17/2016 12:00:00 AM,-73.586763,45.49187,d3f22fb6-9e43-435b-bc75-7aae3b6f24ce,"0",S1,885.45527464282
"10626","201052",Street,Rue Lambert-Closse,N/A,CRCO,Carya cordiformis,Bitternut Hickory,5,9/30/2019 12:00:00 AM,-73.58603,45.49144,86d1e274-25f1-4003-b77d-1d50115bc3ed,"0",S1,885.45527464282
"11108","201926",Street,Rue Lambert-Closse,"2211",FRPE,Fraxinus pennsylvanica,Red Ash,27,9/30/2014 12:00:00 AM,-73.586272,45.491768,3208066b-2e13-4099-af4e-93407bd60f57,"0",S2,509.825892469118
"10575","201001",Street,Rue Lambert-Closse,"2211",GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,5,5/15/2011 12:00:00 AM,-73.586006,45.491611,c69f9ce3-7feb-47a9-91a8-e9db40fa25ed,"0",S2,509.825892469118
"10578","201004",Street,Rue Lambert-Closse,"2211",GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,5,10/23/2018 12:00:00 AM,-73.586534,45.491917,f5ac8232-a367-4076-ae5e-480a1fc7df75,"0",S2,509.825892469118
"11105","201923",Street,Rue Lambert-Closse,"2211",GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,5,10/5/2017 12:00:00 AM,-73.585915,45.491557,c22bcceb-5f07-44e8-8f55-b710ec4a457d,"0",S2,509.825892469118
"11106","201924",Street,Rue Lambert-Closse,"2211",GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,5,9/30/2019 12:00:00 AM,-73.586143,45.491692,74e2c0a3-b0f9-4ba0-aa80-65dc7f1dad39,"0",S2,509.825892469118
