ID_arbre,GlobalID,Shape__Are,Shape__Len,GlobalID_2,Shape__A_1,Shape__L_1,OBJECTID_2,GlobalID_1,Shape__A_2,Shape__L_2,GlobalID_3,Shape__A_3,Shape__L_3,Parcelle,Emplacemen,Localisati,Code_espè,Nom_scient,Nom_commun,Nom_comm_1,Genre_1,Famille_1,Indigène_,Old_Classe,Old_Groupe,New_Class_,New_Group_,Privé_ou_,Placette_t,Placette_1,Placette_2,Propriéta,Hauteur_20,Hauteur_21,DHP_2019,DHP_2020,Diamètre_,Hauteur_Co,Ratio_Cour,Volume_Cim,Commentair,Code_posta,Code_pos_1,Code_pos_2,Placette_3,id,Site.Code
G10,{7577e0f9-69bb-43bc-9282-5c85f183b7ed},5.04687500000,9.67153869000,df684716-3274-4d,5.05000000000,9.67000000000,"598",{7577e0f9-69bb-43bc-9282-5c85f183b7ed},5.04687500000,9.67153869000,df684716-3274-4d90-a0ce-dc10d35cb69b,5.04687500000,9.67153869000,G,"2",,ACNE,Acer negundo,Érable à giguère,Manitoba maple,Acer,Sapindaceae,Indigène,"2",2C,"6",6B,Privé,"750",Rue,Rue,Institution,,,"145",,,,,,,H2X1V3,H2X1V,H2X1,Institution,,I2001
G100,{25948307-ef81-4ab1-b230-1841bbd776ca},1.21484375000,4.32405259000,255e51f5-0824-4b,1.21000000000,4.32000000000,"559",{25948307-ef81-4ab1-b230-1841bbd776ca},1.21484375000,4.32405259000,255e51f5-0824-4bbb-b78e-e99b48020cb9,1.21484375000,4.32405259000,G,"3",,ACPL,Acer platanoides,Érable de Norvège,Norway maple,Acer,Sapindaceae,Exotique,"2",2A,"6",6B,Privé,"750",Rue,Rue,Institution,,,"140",,,,,,,H2X2T9,H2X2T,H2X2,Institution,,I2001
G101,{13ffbd46-cadb-43f4-b3b8-52062804ca2e},1.11718750000,4.48234136000,ea381bda-bb59-48,1.12000000000,4.48000000000,"554",{13ffbd46-cadb-43f4-b3b8-52062804ca2e},1.11718750000,4.48234136000,ea381bda-bb59-48d3-8df2-d44de8aa3a6a,1.11718750000,4.48234136000,G,"3",,GYDI,Gymnocladus dioicus,Chicot du canada,Kentucky coffeetree,Gymnocladus,Fabaceae,Indigène,"4",4B,"4","4",Privé,"300",Bureau,Institution,Institution,,,"53",,,,,,,H2X1X2,H2X1X,H2X1,Institution,,I2001
G102,{7fe6272e-9a27-4364-88b6-b9d178fb6ef4},0.18359375000,1.76801678000,ec8b9bdb-b377-45,0.18000000000,1.77000000000,"563",{7fe6272e-9a27-4364-88b6-b9d178fb6ef4},0.18359375000,1.76801678000,ec8b9bdb-b377-458d-9b40-1859215b86e2,0.18359375000,1.76801678000,G,"3",,GYDI,Gymnocladus dioicus,Chicot du canada,Kentucky coffeetree,Gymnocladus,Fabaceae,Indigène,"4",4B,"4","4",Privé,"750",Rue,Rue,Institution,,,"64",,,,,,,H2X2T9,H2X2T,H2X2,Institution,,I2001
G103,{6145b859-9145-4494-bfb6-a9669b307e0b},0.25390625000,2.03439276000,ddfd26de-2cda-46,0.25000000000,2.03000000000,"564",{6145b859-9145-4494-bfb6-a9669b307e0b},0.25390625000,2.03439276000,ddfd26de-2cda-46eb-9b9d-3bee8c93cb60,0.25390625000,2.03439276000,G,"3",,LOTA,Lonicera tatarica,Chèvrefeuille de tartarie,Tatarian honeysuckle,Lonicera,Caprifoliaceae,Exotique,NA,NA,"3","3",Privé,"750",Rue,Rue,Institution,,,"12",,,,,,,H2X2T9,H2X2T,H2X2,Institution,,I2001
G104,{bca04164-a1e8-4469-b843-6c7ac45f6dd9},0.17968750000,3.60270215000,2950fb54-1727-46,0.18000000000,3.60000000000,"560",{bca04164-a1e8-4469-b843-6c7ac45f6dd9},0.17968750000,3.60270215000,2950fb54-1727-46f7-8a1c-aff6bc1e91f4,0.17968750000,3.60270215000,G,"3",,GYDI,Gymnocladus dioicus,Chicot du canada,Kentucky coffeetree,Gymnocladus,Fabaceae,Indigène,"4",4B,"4","4",Privé,"750",Rue,Rue,Institution,,,"29",,,,,,,H2X2T9,H2X2T,H2X2,Institution,,I2001
G105,{028b101e-c79c-48fd-a551-933853a45bb2},0.74218750000,3.36612041000,0cd7ffa3-60f1-4f,0.74000000000,3.37000000000,"561",{028b101e-c79c-48fd-a551-933853a45bb2},0.74218750000,3.36612041000,0cd7ffa3-60f1-4f47-859f-453219f59511,0.74218750000,3.36612041000,G,"3",,ULAM,Ulmus americana,Orme d'amérique,White elm,Ulmus,Ulmaceae,Indigène,"2",2C,"2",2A,Privé,"750",Rue,Rue,Institution,,,"175",,,,,,,H2X2T9,H2X2T,H2X2,Institution,,I2001
G106,{aed483bd-003c-4090-9d1d-2a3d6074eeec},0.33593750000,2.40626695000,b3b94b29-299f-4b,0.34000000000,2.41000000000,"557",{aed483bd-003c-4090-9d1d-2a3d6074eeec},0.33593750000,2.40626695000,b3b94b29-299f-4b4c-b5d2-503fdf314bde,0.33593750000,2.40626695000,G,"3",,GYDI,Gymnocladus dioicus,Chicot du canada,Kentucky coffeetree,Gymnocladus,Fabaceae,Indigène,"4",4B,"4","4",Privé,"750",Rue,Rue,Institution,,,"27",,,,,,,H2X1X2,H2X1X,H2X1,Institution,,I2001
G107,{ea58ace3-55b6-4075-846a-616c9081c74f},0.87500000000,3.75316509000,1a169164-d7de-4f,0.88000000000,3.75000000000,"552",{ea58ace3-55b6-4075-846a-616c9081c74f},0.87500000000,3.75316509000,1a169164-d7de-4fde-a8ee-972b8f293b0b,0.87500000000,3.75316509000,G,"3",,GYDI,Gymnocladus dioicus,Chicot du canada,Kentucky coffeetree,Gymnocladus,Fabaceae,Indigène,"4",4B,"4","4",Privé,"300",Bureau,Institution,Institution,,,"70",,,,,,,H2X1X2,H2X1X,H2X1,Institution,,I2001
G108,{4b2f0df6-d177-4e77-8048-be2a1d065f45},0.80078125000,3.66064797000,c695d52d-c908-4d,0.80000000000,3.66000000000,"553",{4b2f0df6-d177-4e77-8048-be2a1d065f45},0.80078125000,3.66064797000,c695d52d-c908-4dd1-8148-dfdbdded102d,0.80078125000,3.66064797000,G,"3",,GYDI,Gymnocladus dioicus,Chicot du canada,Kentucky coffeetree,Gymnocladus,Fabaceae,Indigène,"4",4B,"4","4",Privé,"300",Bureau,Institution,Institution,,,"30",,,,,,,H2X1X2,H2X1X,H2X1,Institution,,I2001
G109,{00e1e407-eee7-460b-a565-daad96914a69},0.87890625000,3.63683940000,744b4abd-571a-49,0.88000000000,3.64000000000,"558",{00e1e407-eee7-460b-a565-daad96914a69},0.87890625000,3.63683940000,744b4abd-571a-4920-a5d7-8ba6970e9798,0.87890625000,3.63683940000,G,"3",,LOTA,Lonicera tatarica,Chèvrefeuille de tartarie,Tatarian honeysuckle,Lonicera,Caprifoliaceae,Exotique,NA,NA,"3","3",Privé,"750",Rue,Rue,Institution,,,"58",,,,,,,H2X1X2,H2X1X,H2X1,Institution,,I2001
G11,{517763b9-fc5d-41d7-b989-f310e2c742b6},10.97265625000,12.96764653000,f7bcd411-b716-4a,10.97000000000,12.97000000000,"497",{517763b9-fc5d-41d7-b989-f310e2c742b6},10.97265625000,12.96764653000,f7bcd411-b716-4a8a-9e62-2799693e42b3,10.97265625000,12.96764653000,G,"3",,LOTA,Lonicera tatarica,Chèvrefeuille de tartarie,Tatarian honeysuckle,Lonicera,Caprifoliaceae,Exotique,NA,NA,"3","3",Privé,"750",Rue,Rue,Institution,,,"21",,,,,,,H2X1V3,H2X1V,H2X1,Institution,,I2001
G110,{a547b5d1-0928-4692-8eea-1ac49de141b3},1.24609375000,4.33965051000,2713ceee-c71a-4f,1.25000000000,4.34000000000,"551",{a547b5d1-0928-4692-8eea-1ac49de141b3},1.24609375000,4.33965051000,2713ceee-c71a-4ff9-9a34-a4276a26b39a,1.24609375000,4.33965051000,G,"3",,GYDI,Gymnocladus dioicus,Chicot du canada,Kentucky coffeetree,Gymnocladus,Fabaceae,Indigène,"4",4B,"4","4",Privé,"750",Rue,Rue,Institution,,,"45",,,,,,,H2X1V3,H2X1V,H2X1,Institution,,I2001
G111,{1d2a1454-1cf7-455c-9059-072403cb93c9},0.05859375000,0.95541727000,4232acfb-ebe6-4d,0.06000000000,0.96000000000,"562",{1d2a1454-1cf7-455c-9059-072403cb93c9},0.05859375000,0.95541727000,4232acfb-ebe6-4d11-af09-0b8bc843a926,0.05859375000,0.95541727000,G,"3",,GYDI,Gymnocladus dioicus,Chicot du canada,Kentucky coffeetree,Gymnocladus,Fabaceae,Indigène,"4",4B,"4","4",Privé,"750",Rue,Rue,Institution,,,"18",,,,,,,H2X2T9,H2X2T,H2X2,Institution,,I2001
G112,{4f17276f-e0f1-4bc0-bbef-0de06fe28b79},4.16796875000,8.17054181000,6b8881f0-374a-4c,4.17000000000,8.17000000000,"550",{4f17276f-e0f1-4bc0-bbef-0de06fe28b79},4.16796875000,8.17054181000,6b8881f0-374a-4cca-b3a8-83474f79f652,4.16796875000,8.17054181000,G,"3",,GYDI,Gymnocladus dioicus,Chicot du canada,Kentucky coffeetree,Gymnocladus,Fabaceae,Indigène,"4",4B,"4","4",Privé,"750",Rue,Rue,Institution,,,"43",,,,,,,H2X1V3,H2X1V,H2X1,Institution,,I2001
G113,{07a94c08-81b7-4b32-bd09-a1b73f795a39},4.59375000000,8.25031379000,71c13e49-85b9-43,4.59000000000,8.25000000000,"549",{07a94c08-81b7-4b32-bd09-a1b73f795a39},4.59375000000,8.25031379000,71c13e49-85b9-4372-ab2b-055894f0661d,4.59375000000,8.25031379000,G,"3",,AEHI,Aesculus hippocastanum,Marronnier d’Inde,Horse-chestnut,Aesculus,Sapindaceae,Exotique,"2",2B,"4","4",Privé,"750",Rue,Rue,Institution,,,"222",,,,,,,H2X1V3,H2X1V,H2X1,Institution,,I2001
