FID,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM,ATTACHMENT,REL_GLOBAL,CONTENT_TY,ATT_NAME,DATA_SIZE,GLOBALID
0,208,212,{11008014-B3E5-40AD-A3E0-0835CF81E882},0,VOPA_066,DISPO, ,0,0.000000000000000,0.000000000000000, ,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,0,NON, ,PLANTA,2022.000000000000000,TVERTE, ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
1,209,213,{AED96FBE-D7B1-48E3-B2B8-3D47FBF45C7D},0,VOPA_066,ARBRE,ULPU,1,0.000000000000000,0.000000000000000,95,EMPRI,PUB,AUC,AUC,AUC,FILD01,AUC,AUC,FLBTR,BLSTR,BOMCI,BRATR,50,NON, faiblesse d'embranchement au tronc,INSPRE,2023.000000000000000,TVERTE,déperissement à surveiller,O,2021-11-02 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
2,210,214,{65539628-6ACB-42E5-9438-FD864845C86C},0,VOPA_066,DISPO, ,0,0.000000000000000,0.000000000000000, ,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,0,NON, ,PLANTA,2022.000000000000000, , ,N,, , ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
3,211,215,{2936E4ED-D3AD-4C8D-80CE-D97B58BA034B},0,VOPA_066,DISPO, ,0,0.000000000000000,0.000000000000000, ,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,0,NON, ,PLANTA,2022.000000000000000, , ,N,, , ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
4,212,216,{9E83C100-CCA8-46B7-A3B2-61C1D61BCB2C},0,VOPA_066,ARBRE,ULPU,1,0.000000000000000,0.000000000000000,77,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,RAETR,RASRAC,AUC,65,NON, ,AUC,0.000000000000000, , ,O,2021-09-27 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
5,213,217,{1CDF01ED-E481-4CAC-82B2-3436E9BA49D8},0,VOPA_066,ARBRE,ULPU,1,0.000000000000000,0.000000000000000,74,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,NECBC,AUC,AUC,DEP25,45,NON, ,ABSECT,2022.000000000000000,TVERTE, ,O,2021-09-27 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
6,214,218,{3C3A0F30-E1C2-4CB6-985B-C7024DDF2358},0,VOPA_066,ARBRE,ULPU,1,0.000000000000000,0.000000000000000,45,PARC,PUB,AUC,AUC,AUC,ARBRE,AUC,AUC,FLBTR,BOMCI,DEFBC,AUC,50,NON, blessures d'elagage nombreux en cime,ELASSA,2023.000000000000000,TVERTE, ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
7,289,293,{214EC6A6-705C-442B-8218-97ADB0DA7AD3},0,VOPA_066,DISPO, ,0,0.000000000000000,0.000000000000000,150,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,0,NON, ,PLANTA,2022.000000000000000,WESTHA,Haute de 10 pouces. Dans haie de lonicera Profond,N,, , ,DHS,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
8,290,294,{C11759AB-0019-432F-8697-8B7FE9A2DEAB},0,VOPA_066,ARBRE,ULPU,1,0.000000000000000,0.000000000000000,89,EMPRI,PUB,AUC,AUC,AUC,LAMPFO,AUC,AUC,AUC,CARRAC,BLSBS,DEP50,40,NON, bois mort en cime,ABSECT,90.000000000000000,TVERTE, ,O,2021-09-23 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
9,756,761,{0AD6CD45-2B20-4631-B2AE-E693D5743336},0,VOPA_066,ARBRE,MASP,0,0.000000000000000,0.000000000000000,28,EMPRI,PUB,AUC,AUC,AUC,TRIVIS,AUC,AUC,AUC,FAETR,FENBC,AUC,70,NON, ,ELDEGA,2023.000000000000000,TVERTE, ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
10,3775,3803,{26A8B6A3-2982-47C2-AD89-8E190DA96952},0,VOPA_066,ARBRE,ACPL,1,0.000000000000000,0.000000000000000,65,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,CHETR,FOFTR,FENBC,AUC,50,NON,inclinaison au tronc avec houppier déséquilibré,HAFLSS,2022.000000000000000,TVERTE,chancre important et associé avec défauts sur fourche primaire et trois br primaires,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
