fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
"3","158","160",{7C701E22-588E-46FA-8252-8BB3373769C3},"0",VOPA_093,ARBRE,SOAUCR,"1",,,"12",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BRARAC,"85",NON, ,ELSUGO,2023,TVERTE, ,O,2021-10-12T13:32:26.000,TVJV,,DHP
"603","2991","3011",{5C2CB843-CA0F-4308-9B8C-6BFEB7FC515E},"0",VOPA_093,ARBRE,PNST,"1",,,"7",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,DEP25,"65",NON, ,AUC,,, ,O,2021-10-12T13:16:34.000,TVJV,,DHP
"605","3267","3289",{097EF743-EF63-468B-A2B9-A9CFC8C27D5C},"0",VOPA_093,ARBRE,ACPL,"1",,,"80",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,CHERAC,FOFTR,FENTR,AUC,"65",NON, hauban acier décroché,HAFLSS,2022,TVERTE, ,O,2021-10-12T18:48:22.000,TVJV,,DHP
"606","3279","3301",{FC2D6D97-3282-4D5C-A8AD-EECD8A620E76},"0",VOPA_093,ARBRE,ACPL,"1",,,"35",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON, ,AUC,,, ,O,2021-10-12T19:02:35.000,TVJV,,DHP
"607","3280","3302",{0C895B21-6D81-4146-A87A-3EFE19432B0B},"0",VOPA_093,ARBRE,ACPL,"1",,,"39",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FAETR,AUC,AUC,"75",NON, ,AUC,,, ,O,2021-10-12T19:04:03.000,TVJV,,DHP
"608","3281","3303",{82D0BDC1-F583-4349-93CA-31FE9ABCB7FA},"0",VOPA_093,ARBRE,ACPL,"1",,,"54",PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON,,AUC,,, ,O,2021-10-12T19:05:43.000,TVJV,Bahais year of peace commemoration 1986 very faded,DHP
"609","3282","3304",{91663FC2-BA38-4BE9-ABD0-02D4B59B4FE6},"0",VOPA_093,ARBRE,ACPL,"1",,,"44",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"75",NON, ,AUC,,, ,O,2021-10-13T13:35:47.000,TVJV,,DHP
"610","3283","3305",{E1D296AE-E5E7-42A0-A071-1D58BD120355},"0",VOPA_093,ARBRE,ACPL,"1",,,"41",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,RAETR,AUC,AUC,"70",NON, ,AUC,,, ,O,2021-10-13T13:37:05.000,TVJV,,DHP
"611","3284","3306",{957DCD74-92EF-4CB5-B8F4-738DAE213E35},"0",VOPA_093,ARBRE,ACPL,"1",,,"41",PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON,,AUC,,, ,O,2021-10-13T13:42:11.000,TVJV,Stephen Fraid 1946-1986,DHP
"612","3285","3307",{8836292B-72A8-4E54-9C6F-39536E715F6C},"0",VOPA_093,ARBRE,ACPL,"1",,,"41",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,CHETR,AUC,AUC,AUC,"40",NON, ,ABSECT,2022,TVERTE, ,O,2021-10-13T13:46:02.000,TVJV,,DHP
