fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
"1","88","89",{4EEFA8BC-046B-49FA-86DB-76A75223457F},"0",VOPA_097,ARBRE,ACSA,"1",,,"70",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON,,AUC,,,,O,2021-09-30T15:04:56.000,TVJV,,DHP
"15","645","650",{ABBB7773-6C82-4B3C-A86E-73986BCFC85C},"0",VOPA_097,ARBRE,ACSA,"1",,,"46",PARC,PUB,AUC,AUC,AUC,LAMPFO,AUC,AUC,AUC,BLSBC,CVSBC,DEP25,"50",NON,,INSPRE,2023,TVERTE, dépérissement à surveiller,O,2021-09-30T15:02:12.000,TVJV,,DHP
"16","648","653",{8B6152D1-FF0E-42A0-8DE0-2C36CC47D3C5},"0",VOPA_097,SOUCHE,CACA,"1",,,"6",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON, ,REMPLA,2022,TVERTE, ,O,2021-09-30T14:51:56.000,TVJV,,DHS
"17","649","654",{4E78985B-1FC9-47BE-87E7-4F97FF67D6B2},"0",VOPA_097,ARBRE,PIPUGL,"1",,,"5",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"75",NON, ,,,, ,O,2021-09-30T14:53:17.000,TVJV,,DHP
"18","650","655",{C827444E-1983-439D-A7F0-BFCCB934791F},"0",VOPA_097,ARBRE,ACSA,"1",,,"42",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"70",NON, ,AUC,,, ,O,2021-09-30T14:43:36.000,TVJV,,DHP
"19","653","658",{AC11C68C-9756-467E-9B3F-D63F53C08757},"0",VOPA_097,ARBRE,ACRU,"1",,,"41",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON, ,AUC,,, ,O,2021-09-30T14:39:23.000,TVJV,,DHP
"20","654","659",{AC6879C7-27BB-4911-93B6-ABD7C75D1B11},"0",VOPA_097,SOUCHE,QUPA,"1",,,"7",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"0",NON, ,REMPLA,2022,TVERTE, ,O,2021-09-30T14:36:55.000,TVJV,,DHS
"21","663","668",{26260F54-2FB0-4BCE-BDD3-11EE1325EB8F},"0",VOPA_097,ARBRE,QURO,"1",,,"44",PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,GELTR,AUC,DEP25,"65",NON,,AUC,,, ,O,2021-09-30T14:49:18.000,TVJV,Stephen Fraid 1946-1986,DHP
"29","787","792",{3315F3E6-0949-45FF-B73F-FD514D48CC57},"0",VOPA_097,ARBRE,SYRE,"1",,,"15",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON,,AUC,,, ,O,2021-09-29T21:00:17.000,TVJV,,DHP
"30","788","793",{92F46128-5442-4031-A5EF-AE71364888D1},"0",VOPA_097,ARBRE,SYRE,"1",,,"17",PARC,PUB,AUC,AUC,AUC,BATIM,AUC,AUC,AUC,BRXCI,AUC,BLMTR,"70",NON,,ELASSA,2024,TVERTE, ,O,2021-09-29T20:59:12.000,TVJV,,DHP
