fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
"2","144","145",{9CAEE107-16CD-4ACA-9AD7-1D2C7CA869D3},"0",VOPA_095,ARBRE,ACFR,"1",,,"6",PARC,PUB,AUC,,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,,,,, ,O,2021-08-20T13:19:33.000,TVJV,,DHP
"803","3734","3760",{36A78CD1-75A0-481E-91BB-5DB3295B0383},"0",VOPA_095,ARBRE,PODE,"2",,,"170",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FOOTR,CVSTR,AUC,"45",OUIFC, ,HAFLSS,90,TVERTE, 2 haubans recommandés à cause du grosseur des tiges,O,2021-08-20T18:37:34.000,TVJV,,DHS
"804","3737","3763",{B3DA225D-ADB8-40AC-982C-C85771800FF6},"0",VOPA_095,ARBRE,ACRU,"1",,,"9",PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,BLLTR,AUC,BLMRAC,"70",NON,,AUC,,, ,O,2021-08-20T18:25:42.000,TVJV,Cherra S. Ransom 1916-2002,DHP
"805","3738","3764",{FE9DF7E8-1D7B-488D-B101-F66CE7C78BF7},"0",VOPA_095,ARBRE,ACRU,"1",,,"9",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"70",NON, ,AUC,,, ,O,2021-08-20T17:57:06.000,TVJV,,DHP
"806","3739","3765",{EAFE0EDB-0EE3-4B02-A043-EA4BE0F14D1E},"0",VOPA_095,ARBRE,ACPL,"1",,,"86,000000",PARC,PUB,AUC,AUC,AUC,FILAP,AUC,AUC,CHETR,CARTR,FENTR,AUC,"55",NON, ,ABSECT,90,TVERTE, chancre important au tronc avec fentes cariées du côté O ,O,2021-08-20T18:13:02.000,TVJV,,DHP
"807","3740","3766",{04E8396F-BF65-4C4B-86E6-D8C29BB5760A},"0",VOPA_095,ARBRE,ELAN,"1",,,"14, 9",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,INCTR,AUC,DEP50,"35",NON,,ABDIRE,2023,TVERTE, ,O,2021-08-20T18:22:11.000,TVJV,,DHP_X
"808","3741","3767",{6F982266-AC1F-4EEE-9432-ED042D597A87},"0",VOPA_095,ARBRE,ELAN,"1",,,"12",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,INCTR,BOMCI,DEP51,"20",NON,,ABDIRE,2023,TVERTE, ,O,2021-08-20T18:17:08.000,TVJV,,DHP
"809","3742","3768",{565CA465-C326-42A3-8DAC-31CADB70B4E9},"0",VOPA_095,ARBRE,ELAN,"2",,,"16,14",PARC,PUB,AUC,AUC,AUC,TROPUB,AUC,AUC,AUC,INCTR,FAETR,EXPRAC,"70",NON,interférences trottoir du parc,ABSECT,2022,TVERTE, ,O,2021-08-20T16:20:33.000,TVJV,,DHP_X
"810","3750","3778",{461122A6-9333-4477-8058-CECF45D8DDEF},"0",VOPA_095,ARBRE,ACSA,"3",,,"42",PARC,PUB,AUC,AUC,AUC,,,AUC,AUC,FAETR,BCDCI,AUC,"65",NON, ,,,, ,O,2021-08-20T17:49:40.000,TVJV,,DHS
"811","3751","3779",{C4BE5823-E948-4DD1-90A6-2182A6E5BCCA},"0",VOPA_095,ARBRE,TICO,"1",,,"59,000000",PARC,PUB,AUC,AUC,AUC,LAMPFO,AUC,IPERAC,AUC,FOOBC,AUC,AUC,"60",NON,Branches vers parc bloquent lampadaire,HAFLSS,2021,TVERTE," haubanage triangulaire nécessaire (fourche ouverte exposé côté O), dégagement lampadaire aussi",O,2021-08-20T15:27:47.000,TVJV,,DHP
"812","3758","3786",{CB81DF75-A113-4769-83EA-BE61DEF8D17E},"0",VOPA_095,ARBRE,TICO,"1",,,"14",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON, ,ELREHA,2022,TVERTE, ,O,2021-08-20T13:21:30.000,TVJV,,DHP
"955","7126","6908",{F1B6FE7D-180B-45E0-954F-2E9A4B01D927},,VOPA_095,ARBRE,ULAM,"1",,,"19",PARC,PUB,,,,BATIM,,,,,,,"80",,,,,,,O,2021-03-01T16:09:45.000,TVJV,,DHP
"961","7190","0",{6D25D9F7-8F73-409F-B292-9B5661BFAC4A},,VOPA_095,ARBRE,ULAM,"1",,,"23",PARC,PUB,,,,CLOT,LAMPFO,,,,,,"70",NON,,ABSECT,2023,TVERTE,interférences clôture et lampadaire,O,2021-08-20T14:29:56.000,TVJV,,DHP
"962","7191","0",{3C7A849C-9776-494C-AFCE-61A1A289E36F},,VOPA_095,ARBRE,GLTRIN,"1",,,"24",PARC,PUB,,,,,,,,BOMCI,,,"80",,,ELASSA,2023,TVERTE,,O,2021-08-20T14:37:41.000,TVJV,,DHP
"963","7192","0",{C06CDE32-0634-4413-A111-E3BE1551604E},,VOPA_095,ARBRE,ABBA,,,,"5",PARC,PUB,,,,,,,,,,PEUCI,"20",NON,feuillage sec,REMPLA,2021,TVERTE,,O,2021-08-20T14:41:57.000,TVJV,,
"964","7193","0",{36FD068D-0842-47EC-BD50-F23950787B80},,,ARBRE,ABBA,"1",,,"4",PARC,PUB,,,,,,,,,,,"100",NON,,,,,,O,2021-08-20T14:44:28.000,TVJV,,DHP
"965","7194","0",{C70FC3F3-CBE6-4FAF-984C-45CEEFA8C38A},,VOPA_095,ARBRE,ABBA,"1",,,"5",PARC,PUB,,,,,,,,,,DEP51,"30",NON,,REMPLA,2021,TVERTE,,O,2021-08-20T14:47:22.000,TVJV,,DHP
"966","7195","0",{72D5CD93-A36D-45F3-AE29-9066D95D8160},,VOPA_095,ARBRE,CEOC,"1",,,"31",PARC,PUB,,,,,,,,,,,"80",NON,,,,,,O,2021-08-20T15:09:52.000,TVJV,,DHP
"967","7196","0",{361CD689-1D8F-4458-AF78-0BDFB1E73662},,VOPA_095,ARBRE,AMCA,"1",,,"2",PARC,PUB,,,,,,,,,,,"90",NON,,,,,,O,2021-08-20T15:13:14.000,TVJV,,DHP
"968","7197","0",{F9B3D18E-5A77-4592-929A-A980C5C74552},,VOPA_095,,ACPL,"1",,,"31",PARC,PUB,,,,FILAP,FILCOM,,,,,,"80",,,,,,,O,2021-08-20T15:35:31.000,TVJV,,DHP
"969","7198","0",{0FA4C2EE-8285-4D17-9131-5CD3ADE72E24},,VOPA_095,ARBRE,ACPL,"1",,,"32",PARC,PUB,,,,FILAP,,,,,,,"90",NON,,,,,,O,2021-08-20T16:13:08.000,TVJV,,DHP
"970","7199","0",{90125878-52DE-4009-A46C-F935520D6FB7},,VOPA_095,ARBRE,ULAM,"1",,,"15",PARC,PUB,,,,,,,,,,,"90",,,,,,,O,2021-08-20T17:24:41.000,TVJV,,DHP
"1159","7590","0",{FA2B09D9-9455-46A1-9009-23571321B68D},"0",VOPA_095,SOUCHE,,,,,"9",PARC,PUB,,,,,,,,,,,,,,ESDECH,2022,WESTHA,,,,,,DHS
