fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
"4","192","196",{B77055BF-F246-42E7-AB15-DE382ECCF604},"0",VOPA_100,ARBRE,GIBI,"1",,,"37",PARC,PUB,AUC,AUC,AUC,AIRJEU,AUC,AUC,AUC,AUC,AUC,DEP25,"70",NON,,AUC,,, ,O,2021-10-04T18:15:12.000,TVJV,,DHP
"5","201","205",{DB0B0226-DE0E-487D-96BC-5CA6AB199AC0},"0",VOPA_100,ARBRE,AEHI,"1",,,"61",PARC,PUB,AUC,AUC,AUC,AIRJEU,AUC,AUC,CHIBS,CHICI,BRPCI,AUC,"70",NON,"Chancre, risque de rupture",ELASSA,2023,TVERTE, chancres multiples à retirer ou alléger en cime,O,2021-10-04T18:08:15.000,TVJV,,DHP
"7","219","223",{F61B763B-E86A-4A1A-BA93-2BFA4B978816},"0",VOPA_100,DISPO,,"1",,,,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,,NON,,,,,,O,2021-09-30T19:19:47.000,TVJV,,DHP
"8","284","288",{CF2F1B2A-4E52-4715-AF32-723009A3C5D5},"0",VOPA_100,ARBRE,MASP,"1",,,"36",PARC,PUB,AUC,AUC,AUC,AIRJEU,AUC,AUC,AUC,CARTR,CVSBC,CLACI,"25",NON,,ABSECT,2022,TVERTE, carie important sur l'arbre entier ,O,2021-10-04T18:20:53.000,TVJV,,DHP
"9","285","289",{B4CA0CAB-BE71-4CF5-A753-5DE185E3CA92},"0",VOPA_100,ARBRE,MASP,"1",,,"28",PARC,PUB,AUC,AUC,AUC,CLOT,AIRJEU,AUC,AUC,CARTR,CVSTR,,"45",NON,défilement anormale en cime,ABSECT,2023,TVERTE, ,O,2021-10-04T18:24:24.000,TVJV,,DHP
"10","332","336",{332699AF-B3B8-43DE-85F6-514338FB5142},"0",VOPA_100,ARBRE,TICO,"1",,,"64",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FOFTR,AUC,BRABS,"70",NON,,HAFLSD,2022,WEEQIN,"Hauban dymanique triangle. Pas encore rupture de la fourche primaire. Si rupture, contacter représentant de la Ville. Rehaussement à 8 pieds du sol",N,,,,DHP
"11","333","337",{BE4C87E5-F7FA-4B13-996E-0A7B668290A1},"0",VOPA_100,ARBRE,PIAB,,,,"8",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,,NON, ,ARROSA,2021,WESTHA,,N,,,,DHP
"12","340","344",{8E857E3E-8F89-4DBD-B53C-B0A4F9C4B177},"0",VOPA_100,ARBRE,QURU,,,,"8",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"100",NON,,ARROSA,2021,,,N,,,,DHP
"14","505","509",{7B1B747B-2604-4E96-9AB8-06FCEE34842B},"0",VOPA_100,ARBRE,QURU,"1",,,"74",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,CVSTR,CVSBC,AUC,"50",NON,"Loupe, branches mortes
TVJV cavités sévères mais risque faible",AUC,,, ,O,2021-10-04T19:14:41.000,TVJV,,DHP
"81","991","998",{79CC2CA5-34D7-4EE8-A2CA-5BA23FB42DD9},"0",VOPA_100,ARBRE,GIBI,"1",,,"64",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FAETR,BRXCI,AUC,"75",NON,,HAFLSD,2024,TVERTE, assainissement branches croisés aussi,O,2021-10-05T18:50:05.000,TVJV,,DHP
