NO SITE,NUMERO CIVIC,ROUTE/PARC,ETAT SITE,ESSENCE,QUANTITE TRONC,DIAMETRE,TYPE DIAMETRE
4312,27,HOLTON,ARBRE,ACER PLATANOIDESCK,1,,DHP
6623,20,SPRINGFIELD,DESACTIVÉ,,0,,DHP
6035,4785,SHERBROOKE,ARBRE,SYRINGA RETICULATA,1,10,DHP
6358,0,JARDIN SURREY,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,27,DHP
1155,0,PARC DORCHESTER-CLARKE,ARBRE,PICEA GLAUCA,1,,DHP
2824,4300,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,,DHP
3970,0,THE BOULEVARD,ARBRE,ACER PLATANOIDES,1,,DHP
692,4355,WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
3144,135,ABBOTT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
1912,1120,GREENE,ARBRE,QUERCUS BICOLOR,1,,DHP
6488,598,GROSVENOR,ARBRE,ACER PLATANOIDES,1,82,DHP
5247,3681,THE BOULEVARD,ARBRE,ACER PLATANOIDES,2,84-75,DHP MULTIPLE
4701,30,WILLOW,ARBRE,ACER PLATANOIDES,1,61,DHP
3694,81,WINDSOR,ARBRE,TILIA TOMENTOSA,1,8.000000,DHP
2762,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,,DHP
2509,0,PLACE PARK,ARBRE,CELTIS OCCIDENTALIS,1,,DHP
3627,339,CÔTE-SAINT-ANTOINE,DISPONIBLE,,0,,DHP
5485,79,MOUNTAIN,ARBRE,ACER PLATANOIDES,1,103.000000,DHP
2196,0,PARC WESTMOUNT,ARBRE,MALUS SP.,1,,DHP
169,1165,GREENE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS 'SKYCOLE' SKYLINE®,1,14,DHP
6062,668,BELMONT,ARBRE,ACER X FREEMANIIAB,1,36.000000,DHP
4567,559,GROSVENOR,ARBRE,ACER X FREEMANIIAR,1,4,DHP
7,122,ABERDEEN,ARBRE,PHELLODENDRON AMURENSE,1,,DHP
3613,41,AVENUE FORDEN,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,55.000000,DHP
