id,Site_Code,fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
,S226,"1","11","11",{9D7C3D52-4A1F-4805-BD55-D8AFDA293D3E},"19",VOPA_036,ARBRE,ULPRES,"1",,,"17",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BASCI,"90",NON,,ELREHA,2022,TVERTE, ,O,2021-09-27T17:02:39.000,TVJV,,DHP
,S181,"2","18","18",{6669559B-B158-4508-BAF2-CA7B03E95ECF},"266",VOPA_087,ARBRE,TIFLGL,"1",,,"13",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BRARAC,"80",NON,,ELSUGO,2024,TVERTE,,O,2021-09-20T19:43:50.000,TVJV,,DHP
,S152,"3","26","26",{246CAED0-9C6B-4088-B5E1-92ECADD431AC},"352",VOPA_067,ARBRE,TIAM,"1",,,"9",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON,,,,,,O,2021-09-09T13:44:15.000,TVJV,,DHP
,S173,"4","31","32",{3314EB87-C55C-4EEF-B3B4-BFFF15B6ABAC},"378",VOPA_032,ARBRE,GYDI,"1",,,"12",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"100",NON,,AUC,,,,O,2021-09-16T21:04:45.000,TVJV,,DHP
,S202,"5","32","33",{825AEFCC-49B5-4990-98B0-DF17DAC2CDD1},"399",VOPA_032,DESACT,,,,,,EMPRI,PUB,,,,,,,,,,,,, ,,,,,N,,,,DHP
,S157,"6","37","38",{C23AD9B3-E5A5-4117-A668-37122D1A0A6B},"4380",VOPA_038,ARBRE,ACSA,"1",,,"85",EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BLSRAC,BRATR,"50",NON,Section inclinée vers bâtiment. Cavité ,ELALLE,2023,TVERTE,,N,,,,DHP
,S150,"7","38","39",{713D8DBA-E91E-4ED9-B275-AD45693F7ADD},"4444",VOPA_121,ARBRE,ACPL,"1",,,"71",EMPRI,PUB,AUC,AUC,AUC,LAMPFO,FEUCIR,AUC,CHETR,BLLBC,BRPBS,AUC,"70",NON,,ELCOMP,2021,TVERTE, dégagement et assainissement,O,2021-09-07T17:27:12.000,TVJV,,DHP
,S245,"8","40","41",{900C8D27-6640-40F4-B017-67AF9EE8AA24},"446",VOPA_081,DESACT,,,,,,EMPRI,PUB,,,,,,,,,,,,, ,,,, ,N,,,,DHP
,S249,"9","45","46",{A8BB3B8C-A04B-4812-9817-05B57B80E3D8},"467",VOPA_081,ARBRE,ACPL,"1",,,"73",EMPRI,PUB,AUC,AUC,AUC,FILD01,AUC,AUC,AUC,CVSBC,BLSBC,AUC,"65",NON,"Compartimention au niveau du tronc : gélivure (contrefort à 12pi hauteur, duramen sec sans signes de saprobes opportunistes). TVJV fentes au tronc et branches charpentières, bois mort en cime",HAFLSS,2022,TVERTE,assainissement aussi,O,2021-11-02T17:16:03.000,TVJV,,DHP
,S249,"10","46","47",{40454AB6-AB50-418D-909F-5A692993C192},"467",VOPA_081,DISPO,CGSP,"1",2.7,4.1,,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,,NON,Crataegus x mordenensis 'Snowbird',PLANTA,2021,WESTGA,,N,,,,DHP
