Site_Code,fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ESSENCE,DIAMETRE (CM),TYPE_EMP,PROPRIETE,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
S226,1,11,11,{9D7C3D52-4A1F-4805-BD55-D8AFDA293D3E},19,VOPA_036,ULPRES,17,EMPRI,PUB,,ELREHA,2022,TVERTE, ,O,2021-09-27T17:02:39.000,TVJV,,DHP
S181,2,18,18,{6669559B-B158-4508-BAF2-CA7B03E95ECF},266,VOPA_087,TIFLGL,13,EMPRI,PUB,,ELSUGO,2024,TVERTE,,O,2021-09-20T19:43:50.000,TVJV,,DHP
S152,3,26,26,{246CAED0-9C6B-4088-B5E1-92ECADD431AC},352,VOPA_067,TIAM,9,EMPRI,PUB,,,,,,O,2021-09-09T13:44:15.000,TVJV,,DHP
S173,4,31,32,{3314EB87-C55C-4EEF-B3B4-BFFF15B6ABAC},378,VOPA_032,GYDI,12,EMPRI,PUB,,AUC,,,,O,2021-09-16T21:04:45.000,TVJV,,DHP
S157,6,37,38,{C23AD9B3-E5A5-4117-A668-37122D1A0A6B},4380,VOPA_038,ACSA,85,EMPRI,PUB,Section inclinée vers bâtiment. Cavité ,ELALLE,2023,TVERTE,,N,,,,DHP
S150,7,38,39,{713D8DBA-E91E-4ED9-B275-AD45693F7ADD},4444,VOPA_121,ACPL,71,EMPRI,PUB,,ELCOMP,2021,TVERTE, dégagement et assainissement,O,2021-09-07T17:27:12.000,TVJV,,DHP
S249,9,45,46,{A8BB3B8C-A04B-4812-9817-05B57B80E3D8},467,VOPA_081,ACPL,73,EMPRI,PUB,"Compartimention au niveau du tronc : gélivure (contrefort à 12pi hauteur, duramen sec sans signes de saprobes opportunistes). TVJV fentes au tronc et branches charpentières, bois mort en cime",HAFLSS,2022,TVERTE,assainissement aussi,O,2021-11-02T17:16:03.000,TVJV,,DHP
S171,11,107,108,{06634DCC-756A-4434-9C54-252E397BAC7A},342,VOPA_068,PHAM,17,EMPRI,PUB,,,,, ,O,2021-09-14T15:26:18.000,TVJV,,DHP
S170,13,109,110,{CFDED7FF-2573-4A6E-A2A1-94CEF2303BDE},327,VOPA_109,TITO,8,EMPRI,PUB,,AUC,,, ,O,2021-09-10T15:35:04.000,TVJV,,DHP
S170,14,110,111,{299B7040-6728-4752-AB47-4386909CC1B8},327,VOPA_109,TITO,9,EMPRI,PUB,,AUC,,, ,O,2021-09-10T15:37:21.000,TVJV,,DHP
S236,15,117,118,{C9891FC3-AF6E-488F-B0EB-68D8542598C0},17,VOPA_053,ACPL,35,EMPRI,PUB, ,AUC,,, ,O,2021-09-20T17:21:02.000,TVJV,,DHP
S219,16,127,128,{61B7DBC2-095E-4107-8A93-39294EEF868E},478,VOPA_151,ACPL,78,EMPRI,PUB," fente au tronc, chancre au tronc, cavité au pied",ELSECU,90,TVERTE," cavité/chancre importants sur br primaire cote NO et bois mort à retirer en cime, inspection retour 2024",O,2021-09-23T13:47:12.000,TVJV,,DHP
S216,18,151,152,{07E6D659-8EEE-431D-BA8C-A9FBDAA93A3A},4115,VOPA_121,ULXXMO,6,FOSSE,PUB,Gator,,,,"Aqueduc avec excavation aspirateur et équipe arbo pour couper racines, ensuite plantation en après-midi. ",N,,,,DHP
S216,19,152,153,{B0CF3929-CE95-4929-8BB6-E0C847EE339B},4115,VOPA_121,ULXXMO,6,FOSSE,PUB,,AUC,,,,N,,,,DHP
S173,20,157,158,{78602541-E728-46DF-BA7C-65C21015CA6E},360,VOPA_032,ULXXTR,17,EMPRI,PUB,"arbre de croissance rapide, va endommager la clôture (installé récemment)",AUC,,, ,O,2021-09-16T20:34:00.000,TVJV,,DHP
S169,21,161,163,{78AA1618-9EEF-4DE4-B2D3-D9692131ADB9},364,VOPA_109,ACRU,11,EMPRI,PUB,,AUC,,, ,O,2021-09-10T14:49:36.000,TVJV,,DHP
S187,22,165,167,{F826DB87-CCF2-4E4F-BF89-AA08FB423DAF},1304,VOPA_050,GLTRIN,5,FOSSE,PUB,,REMPLA,2022,TVERTE,,O,2021-09-22T13:29:15.000,TVJV,,DHP
S185,23,166,168,{A2882E83-2391-4D52-9919-F27375C430FF},1238,VOPA_050,GLTRSK,7,FOSSE,PUB,,ELTAFO,2022,TVERTE,retirer branches mortes ,O,2021-09-22T14:08:44.000,TVJV,,DHP
S201,24,169,171,{59B33089-7658-480E-A115-35EEA7CC599C},350,VOPA_087,SYREIS,12,EMPRI,PUB,,AUC,,, ,O,2021-09-20T19:16:21.000,TVJV,,DHP
S207,25,172,175,{0504CC89-EB92-401A-B068-2F9F88ED0C25},1336,VOPA_050,GLTRSK,8,FOSSE,PUB,,AJPRTR,2022,TVERTE,,O,2021-09-21T20:36:18.000,TVJV,,DHP
S175,27,187,191,{8B3C9F77-9AF8-48C7-BBE7-F729FCC496EA},310,VOPA_032,QURU,6,EMPRI,PUB,Tiges de bambous,,,,,N,,,,DHP
S216,36,245,249,{542FD062-1D49-49DF-8485-0B6FDCC075DC},4115,VOPA_121,ULPRES,5,FOSSE,PUB,,,,,"Aqueduc avec excavation aspirateur et équipe arbo pour couper racines, ensuite plantation en après-midi",N,,,,DHP
S216,37,246,250,{100E105F-E6FA-45AF-A5AF-28FEAFE15BF3},4115,VOPA_121,ULPRES,5,FOSSE,PUB,,,,,"Aqueduc avec excavation aspirateur et équipe arbo pour couper racines, ensuite plantation en après-midi",N,,,,DHP
S246,39,269,273,{CA61AEDC-A594-4E73-8F24-44407818984B},500,VOPA_151,AMLASF,8,EMPRI,PUB, ,AUC,,, ,O,2021-09-21T19:49:33.000,TVJV,,DHP
S153,40,270,274,{F6D5FE27-E5E5-408A-A9A7-EE90A1BA11BF},312,VOPA_067,GIBI,6,EMPRI,PUB, ,ELTAFO,2022,TVERTE, ,O,2021-09-09T14:24:02.000,TVJV,,DHP
S159,41,271,275,{ABC301A1-9757-41B4-95BD-F392EFEAFDBE},241,VOPA_067,GLTRNA,14,EMPRI,PUB,Interférences intérieures non réglées,ELREHA,2021,TVERTE, ,O,2021-09-09T18:00:56.000,TVJV,,DHP
S193,43,282,286,{8519C1FE-0BAC-4E2B-8C09-3DEFD42D11ED},4051,VOPA_038,MASP,20,FOSSE,PUB,,GRAGRE,2023,TVERTE,,O,2021-09-29T14:23:15.000,TVJV,,DHP
S219,46,316,320,{7511F1CD-DD9F-4216-8374-D2FB18E15DF2},426,VOPA_151,ACPL,27,EMPRI,PUB, ,AUC,,, ,O,2021-09-23T14:57:41.000,TVJV,,DHP
S175,47,321,325,{F618C0DA-9ACB-4370-AF16-6BC41660ADF3},4311,VOPA_038,ACSA,63,EMPRI,PUB,"houppier déséquilibré vers NE, plusieurs gourmands au tronc et branches secondaires  carie aux racines côté E",ABSECT,2022,TVERTE, ,O,2021-09-14T20:02:41.000,TVJV,,DHP
S178,49,326,330,{ACD7EAE6-CDB0-4F8E-943A-BCB37530B794},361,VOPA_032,GLTRIN,49,EMPRI,PUB,,AUC,,, ,O,2021-09-16T20:16:32.000,TVJV,,DHP
S205,50,341,345,{F110DA86-2507-488C-800D-D27237AA6FA2},375,VOPA_087,ULPRES,20,EMPRI,PUB,Voir photos dans le dossier des arbres (Tree site pictures) Besoin de niveler site avec rétrocaveuse et replanter arbre déjà  présent. Matthew Mackinnon (mathew.mackinnon@futureelectronics.com) Ã  contacter avant de commencer les travaux,AUC,,,bac à fleurs couvrent le collet racinaire et tronc plus que 30cm en hauteur (voir photo),O,2021-09-20T18:34:21.000,TVJV,,DHP
S166,51,368,372,{9D3928E2-8491-4BA5-BA60-AE90F13B875C},4327,VOPA_038,CEOC,13,EMPRI,PUB, ,ELTAFO,2023,TVERTE,,O,2021-09-14T14:44:09.000,TVJV,,DHP
S213,52,376,380,{7A24911C-6AC6-48EB-BE80-D5FF0C717DB9},4100,VOPA_121,GLTRIN,52,EMPRI,PUB,Grosse branche brisée le 7-7-2020 par la compagnie de nettoyage de puisards TechVac,AUC,,,,N,,,,DHP
S170,53,386,390,{B4099F24-00D7-45A3-8F3C-A1CE8535B73C},369,VOPA_109,ACPL,"42,25",EMPRI,PUB,"Deux troncs soudées (Dhp 42, 25)",AUC,,,,O,2021-09-10T14:47:44.000,TVJV,,DHP_X
S170,56,389,393,{EFD939B6-20EA-4857-A0B3-C6836E91C070},369,VOPA_109,TICO,46,EMPRI,PUB,Broussins,AUC,,, ,O,2021-09-10T14:44:24.000,TVJV,,DHP
S240,57,390,394,{22331AC5-0534-461A-887F-87F1055A6A99},453,VOPA_081,ACPL,57,EMPRI,PUB, ,AUC,,,,O,2021-09-21T14:59:36.000,TVJV,,DHP
S217,58,391,395,{D378197D-9B7C-4F6E-AC5C-6A86D856D136},4131,VOPA_121,TIAM,6,EMPRI,PUB, ,AUC,,, ,O,2021-09-21T18:31:11.000,TVJV,,DHP
S170,60,400,404,{FC3F4839-5DF1-4DF9-91CD-802F53F498AE},333,VOPA_109,CTSP,15,EMPRI,PUB, ,,,,,O,2021-09-10T15:25:52.000,TVJV,,DHP
S155,61,447,451,{44A36354-FD4D-4610-903A-2D60D7A61770},265,VOPA_078,ACPL,78,EMPRI,PUB,,HAFLSS,2022,TVERTE, fente important sur branche primaire côté E à haubaner. dégagement bâtiment et suppression/sélection de gourmands aussi. ,O,2021-09-08T16:05:13.000,TVJV,,DHP
S205,62,503,507,{0B3A6793-22C7-4010-87EE-C166A1A4E511},0,VOPA_094,CEOC,5,EMPRI,PUB, ,AUC,,, ,O,2021-09-20T15:42:41.000,TVJV,,DHP
S202,63,504,508,{2D5C2B6B-1A68-4442-8E82-D226F1FBB9A5},399,VOPA_032,CEOCPS,8,EMPRI,PUB,,AUC,,, ,N,,,,DHP
S223,64,515,519,{8ADAC6CB-2481-42A7-8903-C4EEB12E79E8},12,VOPA_036,ACPL,53,EMPRI,PUB,Urgence politique,ELDEGA,2024,TVERTE,,O,2021-09-27T16:59:33.000,TVJV,,DHP
S226,65,516,520,{6CB75B0C-1B44-494A-83FF-75B3A9AA2ADA},15,VOPA_036,ACSA,78,EMPRI,PUB, ,ELDEGA,2024,TVERTE,,O,2021-09-27T16:49:06.000,TVJV,,DHP
S164,66,520,525,{C52C11F3-DE48-4517-9B71-F595E8D641DD},4300,VOPA_038,BEPA,38,EMPRI,PUB,,AUC,,, ,O,2021-09-14T14:39:00.000,TVJV,,DHP
S163,67,521,526,{E27D86CF-573F-4C8F-8E45-55671EC2313B},21,VOPA_057,ULXXTR,16,EMPRI,PUB,,,,,,O,2021-09-27T14:37:53.000,TVJV,,DHP
S240,69,523,528,{1B4C05AF-7032-4D9C-8BBE-52B811CE06DA},417,VOPA_081,ULXXNH,13,BANQ,PUB,,ELREHA,2023,TVERTE,,O,2021-09-21T15:31:30.000,TVJV,,DHP
S232,70,527,532,{34B6CD56-16EB-456D-A019-DA0D0C26525C},407,VOPA_032,ACSA,71,EMPRI,PUB, ,ELCOMP,2024,TVERTE,"dégagement bâtiment et suppression de gourmands, hauban à revoir",O,2021-09-20T13:13:53.000,TVJV,,DHP
S234,72,538,543,{FC1B6B83-9002-4108-AA1B-3FC96D5327B8},6,VOPA_053,ACSA,95,EMPRI,PUB, ,ELDEGA,2024,TVERTE, ,O,2021-09-20T17:25:59.000,TVJV,,DHP
S228,73,541,546,{F6B469BB-A28D-4542-A09C-80444069DCA0},32,VOPA_057,ACSA,71,EMPRI,PUB, ,ELDEGA,2022,WESTBA,,N,,,,DHP
S167,74,547,552,{CC0297C0-2D23-40DC-B7C9-B234AE605E5E},337,VOPA_067,ACPL,44,EMPRI,PUB,"Gélivures, élagages automne + coupes franches. Une en longueur sur tige secondaire avec perte de fleche = point d'entrée décomposition + petite  carie  au contrefort coté sud étude de la santé vasculaire au printemps requi",,,,Résidents ont signalé des branches cassées,O,2021-01-07T17:54:35.000,WESTGA,,DHP
