"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"1",2,"Dawson",1,"Private","Institutional","I","I6","AB","ABBA","ABBA","Abies balsamea","Balsam fir",26,"Y","Y","USDA/TC/LM",""
"2",3,"Dawson",1,"Private","Private","Y","Y100","AB","ABBA","ABBA","Abies balsamea","Balsam fir",12.8,"Y","Y","USDA/TC/LM",""
"3",4,"Dawson",1,"Private","Private","Y","Y132","AB","ABBA","ABBA","Abies balsamea","Balsam fir",10.9,"Y","Y","USDA/TC/LM",""
"4",5,"Dawson",1,"Public","Street","S","S120","AB","ABBA","ABBA","Abies balsamea","Balsam fir",13,"Y","Y","USDA/TC/LM",""
"5",6,"Dawson",1,"Public","Street","S","S120","AB","ABBA","ABBA","Abies balsamea","Balsam fir",20,"Y","Y","USDA/TC/LM",""
"6",7,"Dawson",1,"Public","Street","S","S120","AB","ABBA","ABBA","Abies balsamea","Balsam fir",7,"Y","Y","USDA/TC/LM",""
"7",8,"Dawson",1,"Public","Street","S","S120","AB","ABBA","ABBA","Abies balsamea","Balsam fir",7,"Y","Y","USDA/TC/LM",""
"8",9,"Dawson",1,"Public","Street","S","S120","AB","ABBA","ABBA","Abies balsamea","Balsam fir",18,"Y","Y","USDA/TC/LM",""
"9",10,"Dawson",1,"Private","Institutional","I","I6","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",7,"Y","Y","Mortens/LM","Hybrid of silver &red"
"10",11,"Dawson",1,"Private","Institutional","I","I6","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",6,"Y","Y","Mortens/LM","Hybrid of silver &red"
"11",12,"Dawson",1,"Private","Institutional","I","I6","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"12",13,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",35.7,"Y","Y","Mortens/LM","Hybrid of silver &red"
"13",14,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",26.4,"Y","Y","Mortens/LM","Hybrid of silver &red"
"14",15,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",23.1,"Y","Y","Mortens/LM","Hybrid of silver &red"
"15",16,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",10,"Y","Y","Mortens/LM","Hybrid of silver &red"
"16",17,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"17",18,"Dawson",1,"Private","Private","Y","Y4","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",45.4,"Y","Y","Mortens/LM","Hybrid of silver &red"
"18",19,"Dawson",1,"Private","Private","Y","Y103","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",39.7,"Y","Y","Mortens/LM","Hybrid of silver &red"
"19",20,"Dawson",1,"Private","Private","Y","Y103","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",37.7,"Y","Y","Mortens/LM","Hybrid of silver &red"
"20",21,"Dawson",1,"Private","Private","Y","Y113","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",14.5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"21",22,"Dawson",1,"Public","Parc","P","P1","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"22",23,"Dawson",1,"Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"23",24,"Dawson",1,"Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"24",25,"Dawson",1,"Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"25",26,"Dawson",1,"Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"26",27,"Dawson",1,"Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"27",28,"Dawson",1,"Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"28",29,"Dawson",1,"Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"29",30,"Dawson",1,"Public","Street","S","S8","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"30",31,"Dawson",1,"Public","Street","S","S12","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"31",32,"Dawson",1,"Public","Street","S","S12","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"32",33,"Dawson",1,"Public","Street","S","S12","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"33",34,"Dawson",1,"Public","Street","S","S12","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"34",35,"Dawson",1,"Public","Street","S","S12","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"35",36,"Dawson",1,"Public","Street","S","S12","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"36",37,"Dawson",1,"Public","Street","S","S24","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"37",38,"Dawson",1,"Public","Street","S","S55","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"38",39,"Dawson",1,"Public","Street","S","S62","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"39",40,"Dawson",1,"Public","Street","S","S62","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"40",41,"Dawson",1,"Public","Street","S","S63","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"41",42,"Dawson",1,"Public","Street","S","S72","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"42",43,"Dawson",1,"Public","Street","S","S88","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"43",44,"Dawson",1,"Public","Street","S","S96","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"44",45,"Dawson",1,"Public","Street","S","S96","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"45",46,"Dawson",1,"Public","Street","S","S96","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"46",47,"Dawson",1,"Public","Street","S","S101","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"47",48,"Dawson",1,"Public","Street","S","S112","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"48",49,"Dawson",1,"Public","Street","S","S112","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"49",50,"Dawson",1,"Public","Street","S","S112","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"50",51,"Dawson",1,"Public","Street","S","S112","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",8,"Y","Y","Mortens/LM","Hybrid of silver &red"
"51",52,"Dawson",1,"Private","Institutional","I","I2","AC","ACGI","ACGI","Acer ginnala","Armur Maple",22.1,"N","N","USDA/TC/Mortens",""
"52",54,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",6.3,"N","N","USDA/TC/Mortens",""
"53",55,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",19.3,"N","N","USDA/TC/Mortens",""
"54",56,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",12.2,"N","N","USDA/TC/Mortens",""
"55",57,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",16,"N","N","USDA/TC/Mortens",""
"56",58,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",5.4,"N","N","USDA/TC/Mortens",""
"57",59,"Dawson",1,"Private","Private","Y","Y156","AC","ACGI","ACGI","Acer ginnala","Armur Maple",11,"N","N","USDA/TC/Mortens",""
"58",60,"Dawson",1,"Public","Alley","A","A1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.6,"N","Y","USDA/TC/LM/Mortens",""
"59",61,"Dawson",1,"Public","Alley","A","A1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",15.5,"N","Y","USDA/TC/LM/Mortens",""
"60",62,"Dawson",1,"Public","Alley","A","A1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",27.4,"N","Y","USDA/TC/LM/Mortens",""
"61",63,"Dawson",1,"Public","Alley","A","A2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",27.2,"N","Y","USDA/TC/LM/Mortens",""
"62",64,"Dawson",1,"Public","Alley","A","A2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.8,"N","Y","USDA/TC/LM/Mortens",""
"63",65,"Dawson",1,"Public","Alley","A","A2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",21.6,"N","Y","USDA/TC/LM/Mortens",""
"64",66,"Dawson",1,"Public","Alley","A","A3","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.6,"N","Y","USDA/TC/LM/Mortens",""
"65",67,"Dawson",1,"Public","Alley","A","A4","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.2,"N","Y","USDA/TC/LM/Mortens",""
"66",68,"Dawson",1,"Public","Alley","A","A4","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",31,"N","Y","USDA/TC/LM/Mortens",""
"67",69,"Dawson",1,"Public","Alley","A","A6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",19.3,"N","Y","USDA/TC/LM/Mortens",""
"68",70,"Dawson",1,"Public","Alley","A","A7","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",35.1,"N","Y","USDA/TC/LM/Mortens",""
"69",71,"Dawson",1,"Public","Alley","A","A8","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.2,"N","Y","USDA/TC/LM/Mortens",""
"70",72,"Dawson",1,"Public","Alley","A","A8","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",48.1,"N","Y","USDA/TC/LM/Mortens",""
"71",73,"Dawson",1,"Public","Alley","A","A9","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",54.4,"N","Y","USDA/TC/LM/Mortens",""
"72",74,"Dawson",1,"Public","Alley","A","A9","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",6.4,"N","Y","USDA/TC/LM/Mortens",""
"73",75,"Dawson",1,"Public","Alley","A","A9","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",9.8,"N","Y","USDA/TC/LM/Mortens",""
"74",76,"Dawson",1,"Public","Alley","A","A10","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24.8,"N","Y","USDA/TC/LM/Mortens",""
"75",78,"Dawson",1,"Public","Alley","A","A13","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",29.9,"N","Y","USDA/TC/LM/Mortens",""
"76",80,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",30.4,"N","Y","USDA/TC/LM/Mortens",""
"77",81,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.3,"N","Y","USDA/TC/LM/Mortens",""
"78",82,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",36.9,"N","Y","USDA/TC/LM/Mortens",""
"79",83,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",35.2,"N","Y","USDA/TC/LM/Mortens",""
"80",84,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",45.1,"N","Y","USDA/TC/LM/Mortens",""
"81",85,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",11,"N","Y","USDA/TC/LM/Mortens",""
"82",86,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"83",87,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"84",88,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",33,"N","Y","USDA/TC/LM/Mortens",""
