"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"1",2,"Dawson",1,"Private","Institutional","I","I6","AB","ABBA","ABBA","Abies balsamea","Balsam fir",26,"Y","Y","USDA/TC/LM",""
"9",10,"Dawson",1,"Private","Institutional","I","I6","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",7,"Y","Y","Mortens/LM","Hybrid of silver &red"
"10",11,"Dawson",1,"Private","Institutional","I","I6","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",6,"Y","Y","Mortens/LM","Hybrid of silver &red"
"11",12,"Dawson",1,"Private","Institutional","I","I6","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"12",13,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",35.7,"Y","Y","Mortens/LM","Hybrid of silver &red"
"13",14,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",26.4,"Y","Y","Mortens/LM","Hybrid of silver &red"
"14",15,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",23.1,"Y","Y","Mortens/LM","Hybrid of silver &red"
"15",16,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",10,"Y","Y","Mortens/LM","Hybrid of silver &red"
"16",17,"Dawson",1,"Private","Institutional","I","I1","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"51",52,"Dawson",1,"Private","Institutional","I","I2","AC","ACGI","ACGI","Acer ginnala","Armur Maple",22.1,"N","N","USDA/TC/Mortens",""
"81",85,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",11,"N","Y","USDA/TC/LM/Mortens",""
"82",86,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"83",87,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"84",88,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",33,"N","Y","USDA/TC/LM/Mortens",""
"85",90,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",42,"N","Y","USDA/TC/LM/Mortens",""
"86",91,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",15,"N","Y","USDA/TC/LM/Mortens",""
"87",92,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"88",95,"Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",15,"N","Y","USDA/TC/LM/Mortens",""
"89",96,"Dawson",1,"Private","Institutional","I","I1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",17,"N","Y","USDA/TC/LM/Mortens",""
"90",97,"Dawson",1,"Private","Institutional","I","I1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",23.7,"N","Y","USDA/TC/LM/Mortens",""
"91",98,"Dawson",1,"Private","Institutional","I","I3","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",7,"N","Y","USDA/TC/LM/Mortens",""
