"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"21",22,"Dawson",1,"Public","Parc","P","P1","AC","ACFR","ACFRAB","Acer x freemanii 'Autumn Blaze'","Autumn Blaze Freeman Maple",5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"165",174,"Dawson",1,"Public","Parc","P","P1","AC","ACNI","ACNIGC","Acer nigrum 'Green Column'","Green Column Black Maple",18,"N","N","USDA/TC/LM",""
"474",488,"Dawson",1,"Public","Parc","P","P1","AC","ACSA","ACSA","Acer saccharinum","Silver Maple",5,"Y","Y","USDA/LM",""
"475",489,"Dawson",1,"Public","Parc","P","P1","AC","ACSA","ACSA","Acer saccharinum","Silver Maple",42,"Y","Y","USDA/LM",""
"476",490,"Dawson",1,"Public","Parc","P","P1","AC","ACSA","ACSA","Acer saccharinum","Silver Maple",58,"Y","Y","USDA/LM",""
"477",491,"Dawson",1,"Public","Parc","P","P1","AC","ACSA","ACSA","Acer saccharinum","Silver Maple",66,"Y","Y","USDA/LM",""
"478",492,"Dawson",1,"Public","Parc","P","P1","AC","ACSA","ACSA","Acer saccharinum","Silver Maple",49,"Y","Y","USDA/LM",""
"479",493,"Dawson",1,"Public","Parc","P","P1","AC","ACSA","ACSA","Acer saccharinum","Silver Maple",30,"Y","Y","USDA/LM",""
"480",494,"Dawson",1,"Public","Parc","P","P1","AC","ACSA","ACSA","Acer saccharinum","Silver Maple",41,"Y","Y","USDA/LM",""
"481",495,"Dawson",1,"Public","Parc","P","P1","AC","ACSA","ACSA","Acer saccharinum","Silver Maple",78,"Y","Y","USDA/LM",""
"577",591,"Dawson",1,"Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum","Sugar Maple",5,"Y","Y","TC/LM",""
"578",592,"Dawson",1,"Public","Parc","P","P1","AC","ACSC","ACSC","Acer saccharum","Sugar Maple",5,"Y","Y","TC/LM",""
"616",630,"Dawson",1,"Public","Parc","P","P3","AM","AM","AM","Amelanchier","",7,"Y","Y",NA,""
"617",631,"Dawson",1,"Public","Parc","P","P3","AM","AM","AM","Amelanchier","",8,"Y","Y",NA,""
"730",750,"Dawson",1,"Public","Parc","P","P3","CE","CEOC","CEOC","Celtis occidentalis","Common Hackberry",10,"Y","Y","USDA/LM/NRC",""
"743",763,"Dawson",1,"Public","Parc","P","P2","CG","CGMO","CGMO","Crataegus x mordensis",NA,6,"N","N","TB",NA
"922",944,"Dawson",1,"Public","Parc","P","P3","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",48,"Y","Y","USDA/TC/Mortens/LM",""
"923",945,"Dawson",1,"Public","Parc","P","P3","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",38,"Y","Y","USDA/TC/Mortens/LM",""
"935",958,"Dawson",1,"Public","Parc","P","P3","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree",5,"N","N","Mortens/TC/USDA",""
"936",959,"Dawson",1,"Public","Parc","P","P3","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree",5,"N","N","Mortens/TC/USDA",""
"937",960,"Dawson",1,"Public","Parc","P","P3","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree",5,"N","N","Mortens/TC/USDA",""
"938",961,"Dawson",1,"Public","Parc","P","P3","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree",20,"N","N","Mortens/TC/USDA",""
"939",962,"Dawson",1,"Public","Parc","P","P3","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree",16,"N","N","Mortens/TC/USDA",""
"940",963,"Dawson",1,"Public","Parc","P","P3","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree",20,"N","N","Mortens/TC/USDA",""
"977",1000,"Dawson",1,"Public","Parc","P","P1","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",38,"N","Y","USDA/TC/LM",""
"978",1001,"Dawson",1,"Public","Parc","P","P1","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",45,"N","Y","USDA/TC/LM",""
"979",1002,"Dawson",1,"Public","Parc","P","P1","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",43,"N","Y","USDA/TC/LM",""
"980",1003,"Dawson",1,"Public","Parc","P","P1","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",39,"N","Y","USDA/TC/LM",""
"981",1004,"Dawson",1,"Public","Parc","P","P1","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",51,"N","Y","USDA/TC/LM",""
"982",1005,"Dawson",1,"Public","Parc","P","P1","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",37,"N","Y","USDA/TC/LM",""
"983",1006,"Dawson",1,"Public","Parc","P","P1","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",40,"N","Y","USDA/TC/LM",""
