"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"8762",9075,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",125,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8763",9076,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",125,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8764",9077,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",142,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8765",9078,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",121,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8766",9079,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",145,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8767",9080,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",120,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8768",9081,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",120,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8769",9082,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",160,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8770",9083,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",125,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8771",9084,"UQAM",3,"Public","Streets","S","S2001","UL","ULFR","ULXXFR","Ulmus x 'Frontier'","Ulmus x 'Frontier'",120,"N","N","Mortens/https://www.usna.usda.gov/assets/images/as_pdf_image/Ulmus_Frontier.pdf","Hybrid of two non-natives, the Ulmus minor & Ulmus parvifolia"
"8772",9085,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",108,"N","Y","USDA/TC/LM",""
"8773",9086,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",104,"N","Y","USDA/TC/LM",""
"8774",9087,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",112,"N","Y","USDA/TC/LM",""
"8775",9088,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",106,"N","Y","USDA/TC/LM",""
"8776",9089,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",96,"N","Y","USDA/TC/LM",""
"8777",9090,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",103,"N","Y","USDA/TC/LM",""
"8778",9091,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",101,"N","Y","USDA/TC/LM",""
"8779",9092,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",103,"N","Y","USDA/TC/LM",""
"8780",9093,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",101,"N","Y","USDA/TC/LM",""
"8781",9094,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",117,"N","Y","USDA/TC/LM",""
"8782",9095,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",128,"N","Y","USDA/TC/LM",""
"8783",9096,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",94,"N","Y","USDA/TC/LM",""
"8784",9097,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",121,"N","Y","USDA/TC/LM",""
"8785",9098,"UQAM",3,"Public","Streets","S","S2002","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",122,"N","Y","USDA/TC/LM",""
"8786",9100,"UQAM",3,"Public","Streets","S","S2004","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",121,"N","Y","USDA/TC/LM",""
"8787",9101,"UQAM",3,"Public","Streets","S","S2004","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",110,"N","Y","USDA/TC/LM",""
