"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"2",3,"Dawson",1,"Private","Private","Y","Y100","AB","ABBA","ABBA","Abies balsamea","Balsam fir",12.8,"Y","Y","USDA/TC/LM",""
"3",4,"Dawson",1,"Private","Private","Y","Y132","AB","ABBA","ABBA","Abies balsamea","Balsam fir",10.9,"Y","Y","USDA/TC/LM",""
"17",18,"Dawson",1,"Private","Private","Y","Y4","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",45.4,"Y","Y","Mortens/LM","Hybrid of silver &red"
"18",19,"Dawson",1,"Private","Private","Y","Y103","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",39.7,"Y","Y","Mortens/LM","Hybrid of silver &red"
"19",20,"Dawson",1,"Private","Private","Y","Y103","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",37.7,"Y","Y","Mortens/LM","Hybrid of silver &red"
"20",21,"Dawson",1,"Private","Private","Y","Y113","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",14.5,"Y","Y","Mortens/LM","Hybrid of silver &red"
"52",54,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",6.3,"N","N","USDA/TC/Mortens",""
"53",55,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",19.3,"N","N","USDA/TC/Mortens",""
"54",56,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",12.2,"N","N","USDA/TC/Mortens",""
"55",57,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",16,"N","N","USDA/TC/Mortens",""
"56",58,"Dawson",1,"Private","Private","Y","Y118","AC","ACGI","ACGI","Acer ginnala","Armur Maple",5.4,"N","N","USDA/TC/Mortens",""
"57",59,"Dawson",1,"Private","Private","Y","Y156","AC","ACGI","ACGI","Acer ginnala","Armur Maple",11,"N","N","USDA/TC/Mortens",""
"93",100,"Dawson",1,"Private","Private","Y","Y15","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24.6,"N","Y","USDA/TC/LM/Mortens",""
"94",101,"Dawson",1,"Private","Private","Y","Y15","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",40.4,"N","Y","USDA/TC/LM/Mortens",""
"95",102,"Dawson",1,"Private","Private","Y","Y19","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",16,"N","Y","USDA/TC/LM/Mortens",""
"96",103,"Dawson",1,"Private","Private","Y","Y19","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",8.2,"N","Y","USDA/TC/LM/Mortens",""
"97",104,"Dawson",1,"Private","Private","Y","Y19","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",7,"N","Y","USDA/TC/LM/Mortens",""
"98",105,"Dawson",1,"Private","Private","Y","Y19","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",6.7,"N","Y","USDA/TC/LM/Mortens",""
"99",106,"Dawson",1,"Private","Private","Y","Y20","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",8.3,"N","Y","USDA/TC/LM/Mortens",""
