"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"4037",4184,"Loyola",2,"Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",16.5,"Y","Y","USDA/TC/LM",""
"4038",4185,"Loyola",2,"Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",8.1,"Y","Y","USDA/TC/LM",""
"4039",4186,"Loyola",2,"Private","Private","Y","Y1011","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",16.7,"Y","Y","USDA/TC/LM",""
"4040",4187,"Loyola",2,"Private","Private","Y","Y1046","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",5.2,"Y","Y","USDA/TC/LM",""
"4041",4188,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",7.2,"Y","Y","USDA/TC/LM",""
"4042",4189,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",8,"Y","Y","USDA/TC/LM",""
"4043",4191,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",8.7,"Y","Y","USDA/TC/LM",""
"4044",4192,"Loyola",2,"Private","Private","Y","Y1086","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",14.6,"Y","Y","USDA/TC/LM",""
"4045",4194,"Loyola",2,"Public","Park","P","P1001","AC","ACFR","ACFR","Acer Freemannii 'Armstrong'","FREEMAN MAPLE",5,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4046",4197,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",7.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4047",4198,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",17.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4048",4199,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",21.5,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4049",4200,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",21.8,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4050",4201,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",22.9,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4051",4202,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",24.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4052",4203,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",28,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4053",4204,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",32.9,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4054",4205,"Loyola",2,"Public","Park","P","P1006","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",59.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4055",4206,"Loyola",2,"Public","Park","P","P1006","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",19.8,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4056",4207,"Loyola",2,"Public","Park","P","P1007","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",16.5,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4057",4208,"Loyola",2,"Public","Park","P","P1007","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",18.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4058",4209,"Loyola",2,"Private","Inst","I","I1016","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",84.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4059",4210,"Loyola",2,"Private","Inst","I","I1016","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",9.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4060",4211,"Loyola",2,"Private","Inst","I","I1002","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",13.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4061",4212,"Loyola",2,"Private","Inst","I","I1006","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",83.1,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4062",4213,"Loyola",2,"Private","Inst","I","I1006","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",68,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4063",4214,"Loyola",2,"Public","Row","S","S1015","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",7.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4064",4216,"Loyola",2,"Public","Row","S","S1048","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",12.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4065",4218,"Loyola",2,"Public","Row","S","S1051","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",33,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4066",4219,"Loyola",2,"Public","Row","S","S1051","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",38.3,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4067",4220,"Loyola",2,"Public","Row","S","S1062","AC","ACFR","ACFR","Acer x 'freemannii'","FREEMAN MAPLE",56.1,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4068",4221,"Loyola",2,"Public","Row","S","S1064","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",27.8,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4069",4222,"Loyola",2,"Public","Row","S","S1066","AC","ACFR","ACFR","Acer x freemanii 'Autumn Fantasy'","FREEMAN MAPLE",14.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4070",4223,"Loyola",2,"Public","Row","S","S1066","AC","ACFR","ACFR","Acer x freemanii 'Autumn Fantasy'","FREEMAN MAPLE",11,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4071",4224,"Loyola",2,"Public","Row","S","S1068","AC","ACFR","ACFR","Acer x freemanii 'Armstrong'","FREEMAN MAPLE",9.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4072",4225,"Loyola",2,"Public","Row","S","S1068","AC","ACFR","ACFR","Acer x freemanii 'Armstrong'","FREEMAN MAPLE",9.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4073",4226,"Loyola",2,"Public","Row","S","S1075","AC","ACFR","ACFR","Acer x freemanii","FREEMAN MAPLE",81.2,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4074",4227,"Loyola",2,"Public","Row","S","S1076","AC","ACFR","ACFR","Acer x freemanii","FREEMAN MAPLE",48.9,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4075",4228,"Loyola",2,"Public","Row","S","S1077","AC","ACFR","ACFR","Acer x freemanii 'Firefall'","FREEMAN MAPLE",16.8,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4076",4229,"Loyola",2,"Public","Row","S","S1077","AC","ACFR","ACFR","Acer rubrum 'Armstrong'","FREEMAN MAPLE",29.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4077",4231,"Loyola",2,"Public","Row","S","S1093","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",5,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4078",4232,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",22.2,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4079",4233,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",24.3,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4080",4234,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",7.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4081",4235,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",29.2,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4082",4236,"Loyola",2,"Public","Row","S","S1098","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",6.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4083",4237,"Loyola",2,"Public","Row","S","S1101","AC","ACFR","ACFR","Acer x freemanii 'Marmo'","FREEMAN MAPLE",6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4084",4238,"Loyola",2,"Public","Row","S","S1102","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",35.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4085",4239,"Loyola",2,"Public","Row","S","S1105","AC","ACFR","ACFR","Acer x freemanii 'Celebration'","FREEMAN MAPLE",15.5,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4086",4240,"Loyola",2,"Private","Private","Y","Y1016","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",71.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4087",4241,"Loyola",2,"Private","Private","Y","Y1017","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",55.9,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4088",4242,"Loyola",2,"Private","Private","Y","Y1066","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",6.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4089",4243,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",27.4,"N","N","USDA/TC/Mortens",""
"4090",4244,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",34.6,"N","N","USDA/TC/Mortens",""
"4091",4245,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",38.5,"N","N","USDA/TC/Mortens",""
"4092",4246,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",40.1,"N","N","USDA/TC/Mortens",""
"4093",4247,"Loyola",2,"Public","Park","P","P1002","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",49.6,"N","N","USDA/TC/Mortens",""
"4094",4248,"Loyola",2,"Public","Park","P","P1006","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",23,"N","N","USDA/TC/Mortens",""
"4095",4249,"Loyola",2,"Private","Inst","I","I1015","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",6.2,"N","N","USDA/TC/Mortens",""
"4096",4250,"Loyola",2,"Private","Inst","I","I1015","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",5.8,"N","N","USDA/TC/Mortens",""
