"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"4045",4194,"Loyola",2,"Public","Park","P","P1001","AC","ACFR","ACFR","Acer Freemannii 'Armstrong'","FREEMAN MAPLE",5,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4046",4197,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",7.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4047",4198,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",17.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4048",4199,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",21.5,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4049",4200,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",21.8,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4050",4201,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",22.9,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4051",4202,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",24.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4052",4203,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",28,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4053",4204,"Loyola",2,"Public","Park","P","P1005","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",32.9,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4054",4205,"Loyola",2,"Public","Park","P","P1006","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",59.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
