"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"4063",4214,"Loyola",2,"Public","Row","S","S1015","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",7.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4064",4216,"Loyola",2,"Public","Row","S","S1048","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",12.7,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4065",4218,"Loyola",2,"Public","Row","S","S1051","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",33,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4066",4219,"Loyola",2,"Public","Row","S","S1051","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",38.3,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4067",4220,"Loyola",2,"Public","Row","S","S1062","AC","ACFR","ACFR","Acer x 'freemannii'","FREEMAN MAPLE",56.1,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4068",4221,"Loyola",2,"Public","Row","S","S1064","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'","FREEMAN MAPLE",27.8,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4069",4222,"Loyola",2,"Public","Row","S","S1066","AC","ACFR","ACFR","Acer x freemanii 'Autumn Fantasy'","FREEMAN MAPLE",14.4,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4070",4223,"Loyola",2,"Public","Row","S","S1066","AC","ACFR","ACFR","Acer x freemanii 'Autumn Fantasy'","FREEMAN MAPLE",11,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4071",4224,"Loyola",2,"Public","Row","S","S1068","AC","ACFR","ACFR","Acer x freemanii 'Armstrong'","FREEMAN MAPLE",9.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4072",4225,"Loyola",2,"Public","Row","S","S1068","AC","ACFR","ACFR","Acer x freemanii 'Armstrong'","FREEMAN MAPLE",9.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
