"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"4037",4184,"Loyola",2,"Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",16.5,"Y","Y","USDA/TC/LM",""
"4038",4185,"Loyola",2,"Private","Private","Y","Y1005","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",8.1,"Y","Y","USDA/TC/LM",""
"4039",4186,"Loyola",2,"Private","Private","Y","Y1011","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",16.7,"Y","Y","USDA/TC/LM",""
"4040",4187,"Loyola",2,"Private","Private","Y","Y1046","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",5.2,"Y","Y","USDA/TC/LM",""
"4041",4188,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",7.2,"Y","Y","USDA/TC/LM",""
"4042",4189,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",8,"Y","Y","USDA/TC/LM",""
"4043",4191,"Loyola",2,"Private","Private","Y","Y1076","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",8.7,"Y","Y","USDA/TC/LM",""
"4044",4192,"Loyola",2,"Private","Private","Y","Y1086","AB","ABBA","ABBA","Abies Balsamea","Balsam fir",14.6,"Y","Y","USDA/TC/LM",""
"4086",4240,"Loyola",2,"Private","Private","Y","Y1016","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",71.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4087",4241,"Loyola",2,"Private","Private","Y","Y1017","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",55.9,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4088",4242,"Loyola",2,"Private","Private","Y","Y1066","AC","ACFR","ACFR","Acer Freemannii","FREEMAN MAPLE",6.6,"Y","Y","Mortens/LM","Hybrid of two SLL native species: Acer saccharinum & Acer rubrum"
"4104",4258,"Loyola",2,"Private","Private","Y","Y1050","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",12.9,"N","N","USDA/TC/Mortens",""
"4105",4259,"Loyola",2,"Private","Private","Y","Y1059","AC","ACGI","ACGI","Acer Ginnala","Armur Maple",5.2,"N","N","USDA/TC/Mortens",""
"4171",4326,"Loyola",2,"Private","Private","Y","Y1002","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",35,"N","Y","USDA/TC/LM/Mortens",""
"4172",4327,"Loyola",2,"Private","Private","Y","Y1004","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",42,"N","Y","USDA/TC/LM/Mortens",""
"4173",4328,"Loyola",2,"Private","Private","Y","Y1004","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",30.6,"N","Y","USDA/TC/LM/Mortens",""
"4174",4329,"Loyola",2,"Private","Private","Y","Y1014","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",29,"N","Y","USDA/TC/LM/Mortens",""
"4175",4330,"Loyola",2,"Private","Private","Y","Y1025","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",13.4,"N","Y","USDA/TC/LM/Mortens",""
"4176",4331,"Loyola",2,"Private","Private","Y","Y1035","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",28.6,"N","Y","USDA/TC/LM/Mortens",""
"4177",4332,"Loyola",2,"Private","Private","Y","Y1037","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",57.9,"N","Y","USDA/TC/LM/Mortens",""
"4178",4333,"Loyola",2,"Private","Private","Y","Y1046","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",52.2,"N","Y","USDA/TC/LM/Mortens",""
"4179",4334,"Loyola",2,"Private","Private","Y","Y1048","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",41.6,"N","Y","USDA/TC/LM/Mortens",""
"4180",4335,"Loyola",2,"Private","Private","Y","Y1048","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",35.8,"N","Y","USDA/TC/LM/Mortens",""
"4181",4336,"Loyola",2,"Private","Private","Y","Y1048","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",41.7,"N","Y","USDA/TC/LM/Mortens",""
"4182",4337,"Loyola",2,"Private","Private","Y","Y1056","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",22.5,"N","Y","USDA/TC/LM/Mortens",""
"4183",4338,"Loyola",2,"Private","Private","Y","Y1062","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",35.6,"N","Y","USDA/TC/LM/Mortens",""
"4184",4339,"Loyola",2,"Private","Private","Y","Y1062","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",65.9,"N","Y","USDA/TC/LM/Mortens",""
"4185",4340,"Loyola",2,"Private","Private","Y","Y1062","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",33.8,"N","Y","USDA/TC/LM/Mortens",""
"4186",4341,"Loyola",2,"Private","Private","Y","Y1062","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",53.4,"N","Y","USDA/TC/LM/Mortens",""
"4187",4342,"Loyola",2,"Private","Private","Y","Y1069","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",81.2,"N","Y","USDA/TC/LM/Mortens",""
"4188",4343,"Loyola",2,"Private","Private","Y","Y1069","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",27.8,"N","Y","USDA/TC/LM/Mortens",""
"4189",4344,"Loyola",2,"Private","Private","Y","Y1069","AC","ACNE","ACNE","Acer Negundo","Manitoba Maple",27.8,"N","Y","USDA/TC/LM/Mortens",""
"4190",4345,"Loyola",2,"Private","Private","Y","Y1004","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",6.4,"N","N","USDA/TC/Mortens",""
"4191",4346,"Loyola",2,"Private","Private","Y","Y1009","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",10.6,"N","N","USDA/TC/Mortens",""
"4192",4347,"Loyola",2,"Private","Private","Y","Y1021","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",5.3,"N","N","USDA/TC/Mortens",""
"4193",4348,"Loyola",2,"Private","Private","Y","Y1023","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",30.1,"N","N","USDA/TC/Mortens",""
"4194",4349,"Loyola",2,"Private","Private","Y","Y1046","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",7.5,"N","N","USDA/TC/Mortens",""
"4195",4350,"Loyola",2,"Private","Private","Y","Y1051","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",15.4,"N","N","USDA/TC/Mortens",""
"4196",4351,"Loyola",2,"Private","Private","Y","Y1062","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",8.4,"N","N","USDA/TC/Mortens",""
"4197",4352,"Loyola",2,"Private","Private","Y","Y1062","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",6.3,"N","N","USDA/TC/Mortens",""
"4198",4353,"Loyola",2,"Private","Private","Y","Y1062","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",8.9,"N","N","USDA/TC/Mortens",""
"4199",4354,"Loyola",2,"Private","Private","Y","Y1081","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",35.9,"N","N","USDA/TC/Mortens",""
"4200",4355,"Loyola",2,"Private","Private","Y","Y1081","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",7.1,"N","N","USDA/TC/Mortens",""
"4201",4356,"Loyola",2,"Private","Private","Y","Y1081","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",8.4,"N","N","USDA/TC/Mortens",""
"4202",4357,"Loyola",2,"Private","Private","Y","Y1088","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",46.1,"N","N","USDA/TC/Mortens",""
"4203",4358,"Loyola",2,"Private","Private","Y","Y1088","AC","ACPA","ACPA","Acer Palmatum","Japanese Maple",65,"N","N","USDA/TC/Mortens",""
"4865",5041,"Loyola",2,"Private","Private","Y","Y1001","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",16.2,"N","N","USDA/TC",""
"4866",5042,"Loyola",2,"Private","Private","Y","Y1001","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",21.3,"N","N","USDA/TC",""
"4867",5043,"Loyola",2,"Private","Private","Y","Y1001","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",14,"N","N","USDA/TC",""
"4868",5044,"Loyola",2,"Private","Private","Y","Y1002","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",17.5,"N","N","USDA/TC",""
"4869",5045,"Loyola",2,"Private","Private","Y","Y1002","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",41.1,"N","N","USDA/TC",""
"4870",5046,"Loyola",2,"Private","Private","Y","Y1005","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",57,"N","N","USDA/TC",""
"4871",5047,"Loyola",2,"Private","Private","Y","Y1008","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",26.1,"N","N","USDA/TC",""
"4872",5048,"Loyola",2,"Private","Private","Y","Y1009","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",43.1,"N","N","USDA/TC",""
"4873",5049,"Loyola",2,"Private","Private","Y","Y1012","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",25.3,"N","N","USDA/TC",""
"4874",5050,"Loyola",2,"Private","Private","Y","Y1016","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",63.1,"N","N","USDA/TC",""
"4875",5051,"Loyola",2,"Private","Private","Y","Y1017","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",35,"N","N","USDA/TC",""
"4876",5052,"Loyola",2,"Private","Private","Y","Y1017","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",14.3,"N","N","USDA/TC",""
"4877",5053,"Loyola",2,"Private","Private","Y","Y1028","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",30.8,"N","N","USDA/TC",""
"4878",5054,"Loyola",2,"Private","Private","Y","Y1028","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",31.4,"N","N","USDA/TC",""
"4879",5055,"Loyola",2,"Private","Private","Y","Y1028","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",14,"N","N","USDA/TC",""
"4880",5056,"Loyola",2,"Private","Private","Y","Y1028","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",32.2,"N","N","USDA/TC",""
"4881",5057,"Loyola",2,"Private","Private","Y","Y1031","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",40.4,"N","N","USDA/TC",""
"4882",5058,"Loyola",2,"Private","Private","Y","Y1031","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",17.4,"N","N","USDA/TC",""
"4883",5059,"Loyola",2,"Private","Private","Y","Y1031","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",7.3,"N","N","USDA/TC",""
"4884",5060,"Loyola",2,"Private","Private","Y","Y1031","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",30.7,"N","N","USDA/TC",""
"4885",5061,"Loyola",2,"Private","Private","Y","Y1031","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",17,"N","N","USDA/TC",""
"4886",5062,"Loyola",2,"Private","Private","Y","Y1031","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",40.4,"N","N","USDA/TC",""
"4887",5063,"Loyola",2,"Private","Private","Y","Y1033","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",59.2,"N","N","USDA/TC",""
"4888",5064,"Loyola",2,"Private","Private","Y","Y1035","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",51.9,"N","N","USDA/TC",""
"4889",5065,"Loyola",2,"Private","Private","Y","Y1040","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",32.6,"N","N","USDA/TC",""
"4890",5066,"Loyola",2,"Private","Private","Y","Y1045","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",81.6,"N","N","USDA/TC",""
"4891",5067,"Loyola",2,"Private","Private","Y","Y1045","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",151.2,"N","N","USDA/TC",""
"4892",5068,"Loyola",2,"Private","Private","Y","Y1045","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",47.8,"N","N","USDA/TC",""
"4893",5069,"Loyola",2,"Private","Private","Y","Y1046","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",28.6,"N","N","USDA/TC",""
"4894",5070,"Loyola",2,"Private","Private","Y","Y1046","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",17.5,"N","N","USDA/TC",""
"4895",5071,"Loyola",2,"Private","Private","Y","Y1046","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",5.5,"N","N","USDA/TC",""
"4896",5072,"Loyola",2,"Private","Private","Y","Y1046","AC","ACPL","ACPL","Acer Platanoides","Norway Maple",7.6,"N","N","USDA/TC",""
