,Plot,Plot.code,Classification,GS.Type,Site.Type,Site.Code,Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Species.Common,DBH,Native_SLL,Native_ETF,Origin.Source,Comments
949,Dawson,1,Public,Street,S,S62,FR,FRPE,FRPEMS,Fraxinus pennsylvanica 'Marshall Seedless',Marshall Seedless Red Ash,0,Y,Y,USDA/TC/Mortens/LM,
1723,Dawson,1,Private,Private,Y,Y128,RO,ROPS,ROPS,Robinia pseudoacacia,Black Locust,0,N,Y,TC/lLM/Mortens,
8552,UQAM,3,Pulbic,Alleyway,A,A2002,PO,PODE,PODE,Populus Deltoides,Eastern Cottonwood,0,Y,Y,USDA/TC/LM,
8626,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,0,N,Y,USDA/LM,
8676,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,0,N,Y,USDA/LM,
8678,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,0,N,Y,USDA/LM,
8745,UQAM,3,Private,Institutional,I,I2007,AM,AM,AM,Amelanchier,,0,Y,Y,NA,
8783,UQAM,3,Private,Institutional,I,I2007,AC,ACFR,ACFR,Acer x freemannii,FREEMAN MAPLE,0,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
8785,UQAM,3,Private,Institutional,I,I2007,UL,ULAM,ULAM,Ulmus americana,White Elm,0,Y,Y,USDA/TC/LM,
8857,UQAM,3,Private,Institutional,I,I2009,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,0,N,N,Mortens/TC/USDA,
8873,UQAM,3,Private,Institutional,I,I2009,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,0,N,Y,USDA/TC/LM,
8896,UQAM,3,Private,Institutional,I,I2009,UL,ULDA,ULDADI,Ulmus davidiana 'Discovery',Japanese Elm,0,N,N,USDA/Mortens,
8922,UQAM,3,Private,Institutional,I,I2009,AC,ACPL,ACPL,Acer platanoides,Norway Maple,0,N,N,USDA/TC,
8950,UQAM,3,Private,Institutional,I,I2009,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,0,N,Y,USDA/LM,
9099,UQAM,3,Public,Streets,S,S2003,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,0,N,N,USDA,
9122,UQAM,3,Public,Streets,S,S2006,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,0,N,N,USDA/TC/LM,
9123,UQAM,3,Public,Streets,S,S2006,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,0,N,N,USDA/TC/LM,
9158,UQAM,3,Public,Streets,S,S2009,UL,ULDA,ULDADI,Ulmus davidiana 'Discovery',Japanese Elm,0,N,N,USDA/Mortens,
9168,UQAM,3,Public,Streets,S,S2009,UL,ULDA,ULDADI,Ulmus davidiana 'Discovery',Japanese Elm,0,N,N,USDA/Mortens,
9280,UQAM,3,Public,Streets,S,S2019,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,0,N,N,USDA,
9281,UQAM,3,Public,Streets,S,S2019,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,0,Y,Y,USDA/LM/NRC,
9301,UQAM,3,Public,Streets,S,S2022,UL,ULHO,ULHOPI,Ulmus x hollandica 'Pioneer',Pioneer Elm,0,N,N,Mortens,
9333,UQAM,3,Public,Streets,S,S2027,AC,ACPL,ACPL,Acer platanoides,Norway Maple,0,N,N,USDA/TC,
9344,UQAM,3,Public,Streets,S,S2029,AC,ACPL,ACPL,Acer platanoides,Norway Maple,0,N,N,USDA/TC,
9502,UQAM,3,Public,Streets,S,S2057,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,0,Y,Y,USDA/LM/NRC,
9504,UQAM,3,Public,Streets,S,S2057,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9617,UQAM,3,Private,Private Yards,Y,Y2001,MA,MA,MA,Magnolia x ,,0,N,N,NA,
9621,UQAM,3,Private,Private Yards,Y,Y2001,MA,MA,MA,Magnolia x ,,0,N,N,NA,
9622,UQAM,3,Private,Private Yards,Y,Y2001,MA,MA,MA,Magnolia x ,,0,N,N,NA,
9722,UQAM,3,Private,Private Yards,Y,Y2010,TI,TIAM,TIAM,Tilia americana,American Basswood,0,Y,Y,Mortens/LM,
9740,UQAM,3,Private,Private Yards,Y,Y2016,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,0,Y,Y,USDA/TC/LM,
9747,UQAM,3,Private,Private Yards,Y,Y2020,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9748,UQAM,3,Private,Private Yards,Y,Y2020,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9781,UQAM,3,Private,Private Yards,Y,Y2030,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9857,UQAM,3,Private,Private Yards,Y,Y2055,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9867,UQAM,3,Private,Private Yards,Y,Y2062,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,0,Y,Y,USDA/TC/LM,
9868,UQAM,3,Private,Private Yards,Y,Y2062,MO,MOAL,MOAL,Morus Alba,White Mulberry,0,N,N,USDA/TC/Mortens,
9873,UQAM,3,Private,Private Yards,Y,Y2065,PR,PRCE,PRCE,Prunus Cerasifera,Cherry plum,0,N,N,USDA/TB,
9874,UQAM,3,Private,Private Yards,Y,Y2065,PR,PRCE,PRCE,Prunus Cerasifera,Cherry plum,0,N,N,USDA/TB,
9877,UQAM,3,Private,Private Yards,Y,Y2070,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9878,UQAM,3,Private,Private Yards,Y,Y2071,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9879,UQAM,3,Private,Private Yards,Y,Y2072,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,0,Y,Y,USDA/TC/LM,
9880,UQAM,3,Private,Private Yards,Y,Y2072,AE,AEHI,AEHI,Aesculus hippocastanum,Common Horsechesnut,0,N,N,USDA/TC/Mortens,
9913,UQAM,3,Private,Private Yards,Y,Y2081,AC,ACPL,ACPL,Acer platanoides,Norway Maple,0,N,N,USDA/TC,
9915,UQAM,3,Private,Private Yards,Y,Y2082,SY,SYVU,SYVU,Syringa Vulgaris ,Common Lilac,0,N,N,USDA/TC/Mortens,
9917,UQAM,3,Private,Private Yards,Y,Y2082,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9918,UQAM,3,Private,Private Yards,Y,Y2082,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,0,Y,Y,USDA/TC/LM,
9919,UQAM,3,Private,Private Yards,Y,Y2082,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9921,UQAM,3,Private,Private Yards,Y,Y2083,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,0,Y,Y,TC/LM,
9923,UQAM,3,Private,Private Yards,Y,Y2084,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,0,Y,Y,TC/LM,
9926,UQAM,3,Private,Private Yards,Y,Y2086,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,0,Y,Y,TC/LM,
9932,UQAM,3,Private,Private Yards,Y,Y2089,SY,SYRE,SYRE,Syringa reticulata,Japanese Tree Lilac,0,N,N,USDA/Mortens,
9934,UQAM,3,Private,Private Yards,Y,Y2090,AC,ACPL,ACPL,Acer platanoides,Norway Maple,0,N,N,USDA/TC,
9937,UQAM,3,Private,Private Yards,Y,Y2091,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,0,N,Y,USDA/TC/LM/Mortens,
9938,UQAM,3,Private,Private Yards,Y,Y2092,SY,SYVU,SYVU,Syringa Vulgaris ,Common Lilac,0,N,N,USDA/TC/Mortens,
9941,UQAM,3,Private,Private Yards,Y,Y2092,PI,PIAB,PIAB,Picea abies,Norway Spruce,0,N,N,USDA/TC/Mortens,
9942,UQAM,3,Private,Private Yards,Y,Y2092,MA,MA,MA,Magnolia x ,,0,N,N,NA,
93,Dawson,1,Private,Institutional,I,I6,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,10,N,Y,USDA/TC/LM/Mortens,
3710,Dawson,1,Public,Streets,S,S228,PN,PNST,PNST,Pinus strobus,Eastern White Pine,10,Y,Y,USDA/TC/LM,
8573,UQAM,3,Private,Institutional,I,I2001,LO,LOTA,LOTA,Lonicera Tatarica ,Tartarian honeysuckle,12,N,N,USDA,
8582,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,18,N,Y,USDA/LM,
8704,UQAM,3,Private,Institutional,I,I2004,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,19,N,N,USDA/TC/Mortens,
3127,Dawson,1,Public,Parks,P,P13,AM,AMCA,AMCA,Amelanchier canadensis,Canadian Serviceberry,2,Y,Y,USDA/TC/LM,Synonym: Amelanchier arborea
8602,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,20,N,Y,USDA/LM,
8795,UQAM,3,Private,Institutional,I,I2008,HA,HAVI,HAVI,Hamamelis�virginiana,Witch Hazel,20,Y,Y,USDA,
