"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"8155",8456,"UQAM",3,"Private","Private Yards","Y","Y2100","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",427,"N","Y","USDA/TC/LM/Mortens",""
"8156",8457,"UQAM",3,"Private","Private Yards","Y","Y2101","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",75,"N","N","USDA/TC/LM",""
"8157",8458,"UQAM",3,"Private","Private Yards","Y","Y2101","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",141,"N","N","USDA/TC/LM",""
"8158",8459,"UQAM",3,"Private","Private Yards","Y","Y2101","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",47,"N","N","USDA/TC/LM",""
"8159",8460,"UQAM",3,"Private","Private Yards","Y","Y2101","UL","ULHO","ULHOPI","Ulmus x hollandica 'Pioneer'","Pioneer Elm",365,"N","N","Mortens",""
"8160",8461,"UQAM",3,"Private","Private Yards","Y","Y2101","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",150,"N","N","USDA/TC/LM",""
"8161",8462,"UQAM",3,"Private","Private Yards","Y","Y2101","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",222,"N","N","USDA/TC/LM",""
"8162",8463,"UQAM",3,"Private","Private Yards","Y","Y2101","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",118,"N","N","USDA/TC/LM",""
"8163",8464,"UQAM",3,"Private","Private Yards","Y","Y2103","AC","ACPL","ACPL","Acer platanoides","Norway Maple",29,"N","N","USDA/TC",""
"8164",8465,"UQAM",3,"Private","Private Yards","Y","Y2103","AC","ACPL","ACPL","Acer platanoides","Norway Maple",346,"N","N","USDA/TC",""
"8165",8466,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",134,"Y","Y","USDA/TC/LM",""
"8166",8467,"UQAM",3,"Private","Private Yards","Y","Y2103","MA","MA","MA","Magnolia x ","",458,"N","N",NA,""
"8167",8468,"UQAM",3,"Private","Private Yards","Y","Y2103","MA","MA","MA","Magnolia x ","",277,"N","N",NA,""
"8168",8469,"UQAM",3,"Private","Private Yards","Y","Y2103","UL","ULHO","ULHOPI","Ulmus x hollandica 'Pioneer'","Pioneer Elm",308,"N","N","Mortens",""
"8169",8470,"UQAM",3,"Private","Private Yards","Y","Y2103","PI","PIPU","PIPU","Picea pungens","Colorado Spruce",278,"N","N","USDA/TC/LM",""
"8170",8471,"UQAM",3,"Private","Private Yards","Y","Y2103","UL","ULHO","ULHOPI","Ulmus x hollandica 'Pioneer'","Pioneer Elm",425,"N","N","Mortens",""
"8171",8472,"UQAM",3,"Private","Private Yards","Y","Y2103","MA","MA","MA","Magnolia x ","",38,"N","N",NA,""
"8172",8473,"UQAM",3,"Private","Private Yards","Y","Y2103","AC","ACPL","ACPL","Acer platanoides","Norway Maple",229,"N","N","USDA/TC",""
"8173",8474,"UQAM",3,"Private","Private Yards","Y","Y2103","AC","ACPL","ACPL","Acer platanoides","Norway Maple",378,"N","N","USDA/TC",""
"8174",8475,"UQAM",3,"Private","Private Yards","Y","Y2103","AC","ACPL","ACPL","Acer platanoides","Norway Maple",342,"N","N","USDA/TC",""
"8175",8476,"UQAM",3,"Private","Private Yards","Y","Y2103","PN","PNRE","PNRE","Pinus resinosa","Red Pine",274,"Y","Y","USDA/TC/LM",""
"8176",8477,"UQAM",3,"Private","Private Yards","Y","Y2103","PN","PNRE","PNRE","Pinus resinosa","Red Pine",298,"Y","Y","USDA/TC/LM",""
"8177",8478,"UQAM",3,"Private","Private Yards","Y","Y2103","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",233,"N","Y","USDA/LM",""
"8178",8479,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",49,"Y","Y","USDA/TC/LM",""
"8179",8480,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",74,"Y","Y","USDA/TC/LM",""
"8180",8481,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",60,"Y","Y","USDA/TC/LM",""
"8181",8482,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",83,"Y","Y","USDA/TC/LM",""
"8182",8483,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",79,"Y","Y","USDA/TC/LM",""
"8183",8484,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",77,"Y","Y","USDA/TC/LM",""
"8184",8485,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",69,"Y","Y","USDA/TC/LM",""
"8185",8486,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",91,"Y","Y","USDA/TC/LM",""
"8186",8487,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",75,"Y","Y","USDA/TC/LM",""
"8187",8488,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",94,"Y","Y","USDA/TC/LM",""
"8188",8489,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",98,"Y","Y","USDA/TC/LM",""
"8189",8490,"UQAM",3,"Private","Private Yards","Y","Y2103","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",59,"Y","Y","USDA/TC/LM",""
