"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"8243",8544,"UQAM",3,"Pulbic","Alleyway","A","A2001","PN","PNRE","PNRE","Pinus resinosa","Red Pine",323,"Y","Y","USDA/TC/LM",""
"8244",8545,"UQAM",3,"Pulbic","Alleyway","A","A2001","PN","PNRE","PNRE","Pinus resinosa","Red Pine",341,"Y","Y","USDA/TC/LM",""
"8245",8546,"UQAM",3,"Pulbic","Alleyway","A","A2001","PN","PNRE","PNRE","Pinus resinosa","Red Pine",283,"Y","Y","USDA/TC/LM",""
"8246",8547,"UQAM",3,"Pulbic","Alleyway","A","A2001","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden",438,"N","N","USDA",""
"8247",8548,"UQAM",3,"Pulbic","Alleyway","A","A2001","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden",465,"N","N","USDA",""
"8248",8549,"UQAM",3,"Pulbic","Alleyway","A","A2001","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden",472,"N","N","USDA",""
"8249",8550,"UQAM",3,"Pulbic","Alleyway","A","A2001","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden",445,"N","N","USDA",""
"8250",8551,"UQAM",3,"Pulbic","Alleyway","A","A2002","PO","PODE","PODE","Populus Deltoides","Eastern Cottonwood",548,"Y","Y","USDA/TC/LM",""
"8251",8553,"UQAM",3,"Pulbic","Alleyway","A","A2002","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",146,"N","Y","USDA/TC/LM/Mortens",""
"8252",8554,"UQAM",3,"Pulbic","Alleyway","A","A2002","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",118,"N","Y","USDA/TC/LM/Mortens",""
"8253",8555,"UQAM",3,"Pulbic","Alleyway","A","A2002","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",75,"Y","Y","USDA/TC/LM",""
"8266",8568,"UQAM",3,"Pulbic","Alleyway","A","A2003","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",81,"N","Y","USDA/TC/LM/Mortens",""
