"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"8267",8569,"UQAM",3,"Private","Institutional","I","I2001","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",145,"N","Y","USDA/TC/LM/Mortens",""
"8268",8570,"UQAM",3,"Private","Institutional","I","I2001","AC","ACPL","ACPL","Acer platanoides","Norway Maple",140,"N","N","USDA/TC",""
"8269",8571,"UQAM",3,"Private","Institutional","I","I2001","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",53,"N","Y","USDA/LM",""
"8270",8572,"UQAM",3,"Private","Institutional","I","I2001","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",64,"N","Y","USDA/LM",""
"8271",8573,"UQAM",3,"Private","Institutional","I","I2001","LO","LOTA","LOTA","Lonicera Tatarica ","Tartarian honeysuckle",12,"N","N","USDA",""
"8272",8574,"UQAM",3,"Private","Institutional","I","I2001","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",29,"N","Y","USDA/LM",""
"8273",8575,"UQAM",3,"Private","Institutional","I","I2001","UL","ULAM","ULAM","Ulmus americana","White Elm",175,"Y","Y","USDA/TC/LM",""
"8274",8576,"UQAM",3,"Private","Institutional","I","I2001","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",27,"N","Y","USDA/LM",""
"8275",8577,"UQAM",3,"Private","Institutional","I","I2001","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",70,"N","Y","USDA/LM",""
"8276",8578,"UQAM",3,"Private","Institutional","I","I2001","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",30,"N","Y","USDA/LM",""
"8277",8579,"UQAM",3,"Private","Institutional","I","I2001","LO","LOTA","LOTA","Lonicera Tatarica ","Tartarian honeysuckle",58,"N","N","USDA",""
"8278",8580,"UQAM",3,"Private","Institutional","I","I2001","LO","LOTA","LOTA","Lonicera Tatarica ","Tartarian honeysuckle",21,"N","N","USDA",""
"8279",8581,"UQAM",3,"Private","Institutional","I","I2001","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",45,"N","Y","USDA/LM",""
"8280",8582,"UQAM",3,"Private","Institutional","I","I2001","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",18,"N","Y","USDA/LM",""
"8281",8583,"UQAM",3,"Private","Institutional","I","I2001","GY","GYDI","GYDI","Gymnocladus dioicus","Kentucky Coffee Tree",43,"N","Y","USDA/LM",""
"8282",8584,"UQAM",3,"Private","Institutional","I","I2001","AE","AEHI","AEHI","Aesculus hippocastanum","Common Horsechesnut",222,"N","N","USDA/TC/Mortens",""
