,Plot,Plot.code,Classification,GS.Type,Site.Type,Site.Code,Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Species.Common,DBH,Native_SLL,Native_ETF,Origin.Source,Comments
455,UQAM,3,Private,Institutional,I,I2009,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,57.25,N,N,USDA,
336,UQAM,3,Private,Institutional,I,I2008,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,54.25,Y,Y,TC/LM,
234,UQAM,3,Private,Institutional,I,I2002,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,24.91,N,Y,USDA/TC/LM,
410,UQAM,3,Private,Institutional,I,I2009,UL,ULDA,ULDADI,Ulmus davidiana 'Discovery',Japanese Elm,20.65,N,N,USDA/Mortens,
444,UQAM,3,Private,Institutional,I,I2009,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,15.95,N,N,Mortens/TC/USDA,
452,UQAM,3,Private,Institutional,I,I2009,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,15.65,N,N,Mortens/TC/USDA,
728,UQAM,3,Public,Streets,S,S2010,UL,ULDA,ULDADI,Ulmus davidiana 'Discovery',Japanese Elm,15.15,N,N,USDA/Mortens,
379,UQAM,3,Private,Institutional,I,I2009,MA,MA,MA,Magnolia x ,,11.25,N,N,NA,
1409,UQAM,3,Private,Private Yards,Y,Y2058,PO,PODE,PODE,Populus Deltoides,Eastern Cottonwood,105.7,Y,Y,USDA/TC/LM,
930,UQAM,3,Public,Streets,S,S2032,PO,PODE,PODE,Populus Deltoides,Eastern Cottonwood,103.9,Y,Y,USDA/TC/LM,
1505,UQAM,3,Private,Private Yards,Y,Y2098,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,103.1,N,N,USDA/TC/LM,
1495,UQAM,3,Private,Private Yards,Y,Y2095,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,95.9,Y,Y,TC/LM,
176,UQAM,3,Private,Institutional,I,I2001,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,92.8,Y,Y,TC/LM,
216,UQAM,3,Private,Institutional,I,I2001,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,92.3,Y,Y,TC/LM,
1120,UQAM,3,Public,Streets,S,S2068,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,91.3,Y,Y,TC/LM,
236,UQAM,3,Private,Institutional,I,I2003,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,91.2,Y,Y,TC/LM,
